product_id,name,category,brand,price,rating,description
P00013,Levis Ultra T-Shirt,Clothing,Levis,2420.0,4.4,Levis Ultra T-Shirt - Comfort meets fashion. Perfect for any occasion. This mid-range product offers great value for money.
P00014,Hot Wheels Elite Musical Toy,Toys,Hot Wheels,400.0,3.7,Spark imagination with Hot Wheels Elite Musical Toy from Hot Wheels. Safe and educational. This budget-friendly product offers great value for money.
P00015,Nestle Silver Cooking Oil 1000L,Grocery,Nestle,100.0,5.0,Nestle Silver Cooking Oil 1000L - Goodness in every bite. Premium selection from Nestle. This budget-friendly product offers great value for money.
P00016,Yonex Ultra Swimming Goggles,Sports,Yonex,9600.0,4.1,Yonex Ultra Swimming Goggles - Engineered for athletes. Durable and high-performance. This premium product offers great value for money.
P00017,Nerf Elite Educational Kit,Toys,Nerf,300.0,3.9,Spark imagination with Nerf Elite Educational Kit from Nerf. Safe and educational. This budget-friendly product offers great value for money.
P00018,Havells Classic Air Fryer,Home & Kitchen,Havells,12920.0,4.1,Transform your kitchen with Havells Classic Air Fryer. Reliable performance by Havells. This premium product offers great value for money.
P00019,Xiaomi Smartphone Plus 128GB,Electronics,Xiaomi,1640.0,3.6,Xiaomi Smartphone Plus 128GB - Perfect blend of style and performance. High-quality build with premium features. This mid-range product offers great value for money.
P00020,Nerf Elite Doll House,Toys,Nerf,2350.0,3.4,Nerf Elite Doll House - Fun for all ages. Quality entertainment by Nerf. This mid-range product offers great value for money.
P00021,Levis Deluxe Formal Shirt,Clothing,Levis,12530.0,4.6,Levis Deluxe Formal Shirt - Comfort meets fashion. Perfect for any occasion. This premium product offers great value for money.
P00022,Apple Camera Silver 128MP,Electronics,Apple,70990.0,3.1,Upgrade your tech life with Apple Camera Silver 128MP by Apple. Engineered for excellence. This premium product offers great value for money.
P00023,Samsung Smartwatch Royal Edition,Electronics,Samsung,86420.0,3.1,Experience cutting-edge technology with Samsung Smartwatch Royal Edition. Features latest innovations from Samsung. This premium product offers great value for money.
P00024,Decathlon Ultra Running Shoes,Sports,Decathlon,21330.0,3.8,Train like a pro with Decathlon Ultra Running Shoes. Premium sports gear from Decathlon. This premium product offers great value for money.
P00025,Decathlon Plus Running Shoes,Sports,Decathlon,2820.0,3.3,Elevate your game with Decathlon Plus Running Shoes by Decathlon. Professional grade quality. This mid-range product offers great value for money.
P00026,"Xiaomi Laptop Royal Series 50""",Electronics,Xiaomi,1590.0,2.7,"Upgrade your tech life with Xiaomi Laptop Royal Series 50"" by Xiaomi. Engineered for excellence. This mid-range product offers great value for money."
P00027,Peter England Essential Sneakers,Clothing,Peter England,2440.0,3.1,Step out in style with Peter England Essential Sneakers. Made with premium quality fabric by Peter England. This mid-range product offers great value for money.
P00028,Nike Deluxe Polo Shirt,Clothing,Nike,3980.0,3.3,"Express yourself with Nike Deluxe Polo Shirt from Nike. Trendy design, lasting comfort. This mid-range product offers great value for money."
P00029,Reebok Advanced Fitness Band,Sports,Reebok,10120.0,4.1,Elevate your game with Reebok Advanced Fitness Band by Reebok. Professional grade quality. This premium product offers great value for money.
P00030,"Samsung Smart TV 50"" Basic",Electronics,Samsung,29950.0,3.7,"Samsung Smart TV 50"" Basic - Perfect blend of style and performance. High-quality build with premium features. This premium product offers great value for money."
P00031,Oppo Smartphone Eco 500GB,Electronics,Oppo,88130.0,4.5,Upgrade your tech life with Oppo Smartphone Eco 500GB by Oppo. Engineered for excellence. This premium product offers great value for money.
P00032,IFB Basic Water Purifier,Home & Kitchen,IFB,38270.0,2.4,Transform your kitchen with IFB Basic Water Purifier. Reliable performance by IFB. This premium product offers great value for money.
P00033,Tata Neo Chocolate Pack,Grocery,Tata,1500.0,3.1,Pure and natural Tata Neo Chocolate Pack by Tata. Quality you can trust. This mid-range product offers great value for money.
P00034,Reebok Plus Running Shoes,Sports,Reebok,6310.0,3.2,Elevate your game with Reebok Plus Running Shoes by Reebok. Professional grade quality. This premium product offers great value for money.
P00035,LG Bluetooth Speaker Basic,Electronics,LG,4310.0,4.0,Experience cutting-edge technology with LG Bluetooth Speaker Basic. Features latest innovations from LG. This mid-range product offers great value for money.
P00036,LG Smartphone Elite 8GB,Electronics,LG,128310.0,3.4,Experience cutting-edge technology with LG Smartphone Elite 8GB. Features latest innovations from LG. This premium product offers great value for money.
P00037,Nestle Pro Rice 256kg,Grocery,Nestle,580.0,3.6,Nestle Pro Rice 256kg - Goodness in every bite. Premium selection from Nestle. This budget-friendly product offers great value for money.
P00038,Learn Eco in 30 Days,Books,Scholastic,1060.0,3.1,Expand your horizons with Learn Eco in 30 Days. Available from Scholastic publications. This mid-range product offers great value for money.
P00039,Adidas Essential Jeans,Clothing,Adidas,1870.0,3.1,Step out in style with Adidas Essential Jeans. Made with premium quality fabric by Adidas. This mid-range product offers great value for money.
P00040,Haldirams Plus Flour 750kg,Grocery,Haldirams,30.0,3.3,Healthy living starts with Haldirams Plus Flour 750kg. Fresh quality from Haldirams. This budget-friendly product offers great value for money.
P00041,LOreal Advanced Makeup Kit,Beauty,LOreal,2990.0,,Enhance your beauty routine with LOreal Advanced Makeup Kit by LOreal. Dermatologically tested. This mid-range product offers great value for money.
P00042,LOreal Deluxe Makeup Kit,Beauty,LOreal,2500.0,2.9,Enhance your beauty routine with LOreal Deluxe Makeup Kit by LOreal. Dermatologically tested. This mid-range product offers great value for money.
P00043,Reebok Silver Cycling Helmet,Sports,Reebok,2410.0,4.6,Elevate your game with Reebok Silver Cycling Helmet by Reebok. Professional grade quality. This mid-range product offers great value for money.
P00044,Plus Self Help Guide,Books,HarperCollins,420.0,4.5,Expand your horizons with Plus Self Help Guide. Available from HarperCollins publications. This budget-friendly product offers great value for money.
P00045,History of Ultra Civilizations,Books,Penguin,470.0,3.5,Dive into History of Ultra Civilizations. An enriching read published by Penguin. This budget-friendly product offers great value for money.
P00046,Haldirams Classic Honey 8g,Grocery,Haldirams,990.0,3.8,Haldirams Classic Honey 8g - Goodness in every bite. Premium selection from Haldirams. This budget-friendly product offers great value for money.
P00047,OnePlus Tablet Eco 128GB,Electronics,OnePlus,12860.0,4.0,Experience cutting-edge technology with OnePlus Tablet Eco 128GB. Features latest innovations from OnePlus. This premium product offers great value for money.
P00048,OnePlus Camera Eco 750MP,Electronics,OnePlus,13750.0,4.3,Experience cutting-edge technology with OnePlus Camera Eco 750MP. Features latest innovations from OnePlus. This premium product offers great value for money.
P00049,Fisher-Price Pro Art Set,Toys,Fisher-Price,210.0,,Spark imagination with Fisher-Price Pro Art Set from Fisher-Price. Safe and educational. This budget-friendly product offers great value for money.
P00050,Hasbro Basic Educational Kit,Toys,Hasbro,1660.0,4.4,Create happy memories with Hasbro Basic Educational Kit. Trusted toy from Hasbro. This mid-range product offers great value for money.
P00051,Lakme Neo Makeup Kit,Beauty,Lakme,950.0,3.9,Discover the magic of Lakme Neo Makeup Kit. Trusted skincare from Lakme. This budget-friendly product offers great value for money.
P00052,Decathlon Lite Dumbbell Set 8kg,Sports,Decathlon,390.0,3.2,Decathlon Lite Dumbbell Set 8kg - Engineered for athletes. Durable and high-performance. This budget-friendly product offers great value for money.
P00053,Fisher-Price Classic Building Blocks Set,Toys,Fisher-Price,350.0,3.9,Fisher-Price Classic Building Blocks Set - Fun for all ages. Quality entertainment by Fisher-Price. This budget-friendly product offers great value for money.
P00054,The Body Shop Gold Makeup Kit,Beauty,The Body Shop,170.0,3.2,Discover the magic of The Body Shop Gold Makeup Kit. Trusted skincare from The Body Shop. This budget-friendly product offers great value for money.
P00055,Maybelline Gold Face Wash,Beauty,Maybelline,780.0,3.8,Enhance your beauty routine with Maybelline Gold Face Wash by Maybelline. Dermatologically tested. This budget-friendly product offers great value for money.
P00056,Prestige Essential Washing Machine 16kg,Home & Kitchen,Prestige,53590.0,3.5,Transform your kitchen with Prestige Essential Washing Machine 16kg. Reliable performance by Prestige. This premium product offers great value for money.
P00057,LOreal Eco Serum,Beauty,LOreal,330.0,3.9,Discover the magic of LOreal Eco Serum. Trusted skincare from LOreal. This budget-friendly product offers great value for money.
P00058,LOreal Essential Sunscreen SPF55,Beauty,LOreal,1590.0,4.0,Discover the magic of LOreal Essential Sunscreen SPF55. Trusted skincare from LOreal. This mid-range product offers great value for money.
P00059,Apple Tablet Smart 128GB,Electronics,Apple,15420.0,4.7,Experience cutting-edge technology with Apple Tablet Smart 128GB. Features latest innovations from Apple. This premium product offers great value for money.
P00060,Amul Gold Tea 8g,Grocery,Amul,1670.0,4.2,Amul Gold Tea 8g - Goodness in every bite. Premium selection from Amul. This mid-range product offers great value for money.
P00061,Xiaomi Power Bank 64mAh,Electronics,Xiaomi,5890.0,4.1,Xiaomi Power Bank 64mAh - Perfect blend of style and performance. High-quality build with premium features. This premium product offers great value for money.
P00062,Apple Tablet Basic 256GB,Electronics,Apple,16080.0,2.7,Experience cutting-edge technology with Apple Tablet Basic 256GB. Features latest innovations from Apple. This premium product offers great value for money.
P00063,Nestle Essential Rice 128kg,Grocery,Nestle,320.0,4.5,Nestle Essential Rice 128kg - Goodness in every bite. Premium selection from Nestle. This budget-friendly product offers great value for money.
P00064,Philips Ultra Microwave Oven,Home & Kitchen,Philips,1630.0,3.6,Bring home Philips Ultra Microwave Oven by Philips. Built for modern households. This mid-range product offers great value for money.
P00065,"LG Laptop Pro Series 32""",Electronics,LG,40610.0,,"Upgrade your tech life with LG Laptop Pro Series 32"" by LG. Engineered for excellence. This premium product offers great value for money."
P00066,MTR Pro Flour 1000kg,Grocery,MTR,1400.0,5.0,Healthy living starts with MTR Pro Flour 1000kg. Fresh quality from MTR. This mid-range product offers great value for money.
P00067,Essential Science Fiction Novel,Books,Penguin,140.0,3.4,Expand your horizons with Essential Science Fiction Novel. Available from Penguin publications. This budget-friendly product offers great value for money.
P00068,Yonex Plus Running Shoes,Sports,Yonex,15750.0,4.8,Elevate your game with Yonex Plus Running Shoes by Yonex. Professional grade quality. This premium product offers great value for money.
P00069,Peter England Deluxe Jeans,Clothing,Peter England,6710.0,4.0,Step out in style with Peter England Deluxe Jeans. Made with premium quality fabric by Peter England. This premium product offers great value for money.
P00070,Stories of Neo Adventures,Books,Scholastic,230.0,4.2,Stories of Neo Adventures - A must-read for every book lover. Thought-provoking content. This budget-friendly product offers great value for money.
P00071,Van Heusen Ultra Dress,Clothing,Van Heusen,420.0,3.8,Van Heusen Ultra Dress - Comfort meets fashion. Perfect for any occasion. This budget-friendly product offers great value for money.
P00072,Puma Neo Tennis Racket,Sports,Puma,5400.0,3.2,Puma Neo Tennis Racket - Engineered for athletes. Durable and high-performance. This premium product offers great value for money.
P00073,Sony Smartwatch Pro Edition,Electronics,Sony,5330.0,4.3,Experience cutting-edge technology with Sony Smartwatch Pro Edition. Features latest innovations from Sony. This premium product offers great value for money.
P00074,Apple Camera Lite 256MP,Electronics,Apple,1200.0,4.0,Upgrade your tech life with Apple Camera Lite 256MP by Apple. Engineered for excellence. This mid-range product offers great value for money.
P00075,Adidas Pro Tennis Racket,Sports,Adidas,4240.0,4.0,Train like a pro with Adidas Pro Tennis Racket. Premium sports gear from Adidas. This mid-range product offers great value for money.
P00076,IFB Elite Air Fryer,Home & Kitchen,IFB,2920.0,3.9,Bring home IFB Elite Air Fryer by IFB. Built for modern households. This mid-range product offers great value for money.
P00077,Hot Wheels Deluxe Remote Control Car,Toys,Hot Wheels,3170.0,3.7,Create happy memories with Hot Wheels Deluxe Remote Control Car. Trusted toy from Hot Wheels. This mid-range product offers great value for money.
P00078,Haldirams Deluxe Cereal 750g,Grocery,Haldirams,1380.0,4.3,Haldirams Deluxe Cereal 750g - Goodness in every bite. Premium selection from Haldirams. This mid-range product offers great value for money.
P00079,Maybelline Advanced Serum,Beauty,Maybelline,2050.0,4.2,Maybelline Advanced Serum - Your secret to radiant skin. Premium formulation by Maybelline. This mid-range product offers great value for money.
P00080,The Art of Gold Living,Books,Scholastic,760.0,4.4,Expand your horizons with The Art of Gold Living. Available from Scholastic publications. This budget-friendly product offers great value for money.
P00081,Levis Royal Polo Shirt,Clothing,Levis,3820.0,3.7,Step out in style with Levis Royal Polo Shirt. Made with premium quality fabric by Levis. This mid-range product offers great value for money.
P00082,Yonex Elite Swimming Goggles,Sports,Yonex,1360.0,3.6,Train like a pro with Yonex Elite Swimming Goggles. Premium sports gear from Yonex. This mid-range product offers great value for money.
P00083,MTR Gold Cooking Oil 500L,Grocery,MTR,290.0,3.5,Pure and natural MTR Gold Cooking Oil 500L by MTR. Quality you can trust. This budget-friendly product offers great value for money.
P00084,Philips Ultra Water Purifier,Home & Kitchen,Philips,1990.0,3.9,Philips Ultra Water Purifier - Making your daily chores effortless. Energy efficient and durable. This mid-range product offers great value for money.
P00085,LOreal Classic Hair Oil 16ml,Beauty,LOreal,270.0,2.7,LOreal Classic Hair Oil 16ml - Your secret to radiant skin. Premium formulation by LOreal. This budget-friendly product offers great value for money.
P00086,Hot Wheels Silver Board Game,Toys,Hot Wheels,4320.0,5.0,Spark imagination with Hot Wheels Silver Board Game from Hot Wheels. Safe and educational. This mid-range product offers great value for money.
P00087,LG Max Mixer Grinder,Home & Kitchen,LG,1040.0,3.4,LG Max Mixer Grinder - Making your daily chores effortless. Energy efficient and durable. This mid-range product offers great value for money.
P00088,The Body Shop Silver Makeup Kit,Beauty,The Body Shop,470.0,4.7,Enhance your beauty routine with The Body Shop Silver Makeup Kit by The Body Shop. Dermatologically tested. This budget-friendly product offers great value for money.
P00089,Prestige Premium Water Purifier,Home & Kitchen,Prestige,23700.0,3.5,Transform your kitchen with Prestige Premium Water Purifier. Reliable performance by Prestige. This premium product offers great value for money.
P00090,Puma Deluxe Formal Shirt,Clothing,Puma,720.0,2.8,Puma Deluxe Formal Shirt - Comfort meets fashion. Perfect for any occasion. This budget-friendly product offers great value for money.
P00091,Adidas Basic Tennis Racket,Sports,Adidas,23620.0,4.2,Train like a pro with Adidas Basic Tennis Racket. Premium sports gear from Adidas. This premium product offers great value for money.
P00092,Lakme Smart Hair Oil 50ml,Beauty,Lakme,4230.0,,Discover the magic of Lakme Smart Hair Oil 50ml. Trusted skincare from Lakme. This mid-range product offers great value for money.
P00093,Nike Neo Jeans,Clothing,Nike,6890.0,4.2,Nike Neo Jeans - Comfort meets fashion. Perfect for any occasion. This premium product offers great value for money.
P00094,Haldirams Advanced Spices Combo,Grocery,Haldirams,610.0,5.0,Healthy living starts with Haldirams Advanced Spices Combo. Fresh quality from Haldirams. This budget-friendly product offers great value for money.
P00095,Bajaj Deluxe Electric Kettle,Home & Kitchen,Bajaj,35230.0,4.6,Transform your kitchen with Bajaj Deluxe Electric Kettle. Reliable performance by Bajaj. This premium product offers great value for money.
P00096,Xiaomi Power Bank 256mAh,Electronics,Xiaomi,28680.0,3.2,Xiaomi Power Bank 256mAh - Perfect blend of style and performance. High-quality build with premium features. This premium product offers great value for money.
P00097,Havells Plus Air Fryer,Home & Kitchen,Havells,3210.0,4.3,Havells Plus Air Fryer - Making your daily chores effortless. Energy efficient and durable. This mid-range product offers great value for money.
P00098,Nike Deluxe Cycling Helmet,Sports,Nike,410.0,1.6,Train like a pro with Nike Deluxe Cycling Helmet. Premium sports gear from Nike. This budget-friendly product offers great value for money.
P00099,Mattel Eco Doll House,Toys,Mattel,9880.0,4.1,Spark imagination with Mattel Eco Doll House from Mattel. Safe and educational. This premium product offers great value for money.
P00100,Prestige Royal Refrigerator 1000L,Home & Kitchen,Prestige,10680.0,3.3,Prestige Royal Refrigerator 1000L - Making your daily chores effortless. Energy efficient and durable. This premium product offers great value for money.
P00101,Nike Advanced Badminton Racket,Sports,Nike,11070.0,4.6,Elevate your game with Nike Advanced Badminton Racket by Nike. Professional grade quality. This premium product offers great value for money.
P00102,LOreal Gold Body Lotion,Beauty,LOreal,1290.0,3.0,Enhance your beauty routine with LOreal Gold Body Lotion by LOreal. Dermatologically tested. This mid-range product offers great value for money.
P00103,LOreal Classic Serum,Beauty,LOreal,1020.0,4.5,Discover the magic of LOreal Classic Serum. Trusted skincare from LOreal. This mid-range product offers great value for money.
P00104,Maybelline Lite Lipstick Set,Beauty,Maybelline,1380.0,4.4,Discover the magic of Maybelline Lite Lipstick Set. Trusted skincare from Maybelline. This mid-range product offers great value for money.
P00105,Prestige Pro Electric Kettle,Home & Kitchen,Prestige,45040.0,3.9,Bring home Prestige Pro Electric Kettle by Prestige. Built for modern households. This premium product offers great value for money.
P00106,Complete Premium Reference,Books,Penguin,2280.0,3.4,Dive into Complete Premium Reference. An enriching read published by Penguin. This mid-range product offers great value for money.
P00107,Dove Gold Face Wash,Beauty,Dove,670.0,4.3,Enhance your beauty routine with Dove Gold Face Wash by Dove. Dermatologically tested. This budget-friendly product offers great value for money.
P00108,Britannia Classic Coffee 750g,Grocery,Britannia,80.0,,Britannia Classic Coffee 750g - Goodness in every bite. Premium selection from Britannia. This budget-friendly product offers great value for money.
P00109,Britannia Ultra Coffee 128g,Grocery,Britannia,730.0,3.3,Healthy living starts with Britannia Ultra Coffee 128g. Fresh quality from Britannia. This budget-friendly product offers great value for money.
P00110,Zara Plus Jeans,Clothing,Zara,7780.0,3.8,Step out in style with Zara Plus Jeans. Made with premium quality fabric by Zara. This premium product offers great value for money.
P00111,Adidas Smart Swimming Goggles,Sports,Adidas,1850.0,3.9,Adidas Smart Swimming Goggles - Engineered for athletes. Durable and high-performance. This mid-range product offers great value for money.
P00112,Zara Royal T-Shirt,Clothing,Zara,990.0,3.3,"Express yourself with Zara Royal T-Shirt from Zara. Trendy design, lasting comfort. This budget-friendly product offers great value for money."
P00113,Adidas Pro Swimming Goggles,Sports,Adidas,1440.0,3.3,Train like a pro with Adidas Pro Swimming Goggles. Premium sports gear from Adidas. This mid-range product offers great value for money.
P00114,LG Wireless Earbuds Eco,Electronics,LG,143950.0,4.2,Upgrade your tech life with LG Wireless Earbuds Eco by LG. Engineered for excellence. This premium product offers great value for money.
P00115,Complete Ultra Reference,Books,Scholastic,310.0,3.2,Dive into Complete Ultra Reference. An enriching read published by Scholastic. This budget-friendly product offers great value for money.
P00116,Britannia Lite Biscuits Pack,Grocery,Britannia,200.0,3.6,Pure and natural Britannia Lite Biscuits Pack by Britannia. Quality you can trust. This budget-friendly product offers great value for money.
P00117,Elite Mystery Thriller,Books,Penguin,140.0,3.0,Expand your horizons with Elite Mystery Thriller. Available from Penguin publications. This budget-friendly product offers great value for money.
P00118,Learn Pro in 30 Days,Books,Pearson,550.0,3.9,Expand your horizons with Learn Pro in 30 Days. Available from Pearson publications. This budget-friendly product offers great value for money.
P00119,Dove Plus Face Wash,Beauty,Dove,1090.0,3.7,Dove Plus Face Wash - Your secret to radiant skin. Premium formulation by Dove. This mid-range product offers great value for money.
P00120,MTR Advanced Biscuits Pack,Grocery,MTR,620.0,2.5,MTR Advanced Biscuits Pack - Goodness in every bite. Premium selection from MTR. This budget-friendly product offers great value for money.
P00121,Amul Neo Spices Combo,Grocery,Amul,40.0,2.9,Amul Neo Spices Combo - Goodness in every bite. Premium selection from Amul. This budget-friendly product offers great value for money.
P00122,Lakme Classic Perfume 128ml,Beauty,Lakme,940.0,1.7,Lakme Classic Perfume 128ml - Your secret to radiant skin. Premium formulation by Lakme. This budget-friendly product offers great value for money.
P00123,Britannia Royal Cooking Oil 16L,Grocery,Britannia,670.0,4.7,Pure and natural Britannia Royal Cooking Oil 16L by Britannia. Quality you can trust. This budget-friendly product offers great value for money.
P00124,Britannia Neo Coffee 65g,Grocery,Britannia,980.0,3.4,Britannia Neo Coffee 65g - Goodness in every bite. Premium selection from Britannia. This budget-friendly product offers great value for money.
P00125,LG Royal Induction Cooktop,Home & Kitchen,LG,11280.0,4.1,Transform your kitchen with LG Royal Induction Cooktop. Reliable performance by LG. This premium product offers great value for money.
P00126,OnePlus Tablet Deluxe 64GB,Electronics,OnePlus,1490.0,3.2,OnePlus Tablet Deluxe 64GB - Perfect blend of style and performance. High-quality build with premium features. This mid-range product offers great value for money.
P00127,Xiaomi Tablet Smart 500GB,Electronics,Xiaomi,1940.0,4.9,Xiaomi Tablet Smart 500GB - Perfect blend of style and performance. High-quality build with premium features. This mid-range product offers great value for money.
P00128,Amul Essential Spices Combo,Grocery,Amul,1120.0,2.7,Amul Essential Spices Combo - Goodness in every bite. Premium selection from Amul. This mid-range product offers great value for money.
P00129,Haldirams Smart Cooking Oil 55L,Grocery,Haldirams,30.0,4.7,Pure and natural Haldirams Smart Cooking Oil 55L by Haldirams. Quality you can trust. This budget-friendly product offers great value for money.
P00130,Nivea Plus Face Wash,Beauty,Nivea,980.0,3.9,Enhance your beauty routine with Nivea Plus Face Wash by Nivea. Dermatologically tested. This budget-friendly product offers great value for money.
P00131,Smart Programming Guide,Books,Pearson,2280.0,4.3,Expand your horizons with Smart Programming Guide. Available from Pearson publications. This mid-range product offers great value for money.
P00132,Samsung Bluetooth Speaker Elite,Electronics,Samsung,1980.0,4.8,Samsung Bluetooth Speaker Elite - Perfect blend of style and performance. High-quality build with premium features. This mid-range product offers great value for money.
P00133,Decathlon Elite Swimming Goggles,Sports,Decathlon,2520.0,4.0,Elevate your game with Decathlon Elite Swimming Goggles by Decathlon. Professional grade quality. This mid-range product offers great value for money.
P00134,Lite Self Help Guide,Books,Scholastic,130.0,5.0,Expand your horizons with Lite Self Help Guide. Available from Scholastic publications. This budget-friendly product offers great value for money.
P00135,Nerf Advanced Puzzle 32 Pieces,Toys,Nerf,3190.0,4.7,Nerf Advanced Puzzle 32 Pieces - Fun for all ages. Quality entertainment by Nerf. This mid-range product offers great value for money.
P00136,Reebok Basic Yoga Mat,Sports,Reebok,7880.0,4.3,Elevate your game with Reebok Basic Yoga Mat by Reebok. Professional grade quality. This premium product offers great value for money.
P00137,Samsung Smartphone Deluxe 16GB,Electronics,Samsung,2950.0,4.6,Upgrade your tech life with Samsung Smartphone Deluxe 16GB by Samsung. Engineered for excellence. This mid-range product offers great value for money.
P00138,Fisher-Price Max Building Blocks Set,Toys,Fisher-Price,820.0,3.8,Fisher-Price Max Building Blocks Set - Fun for all ages. Quality entertainment by Fisher-Price. This budget-friendly product offers great value for money.
P00139,"LG Smart TV 128"" Pro",Electronics,LG,4780.0,3.2,"Upgrade your tech life with LG Smart TV 128"" Pro by LG. Engineered for excellence. This mid-range product offers great value for money."
P00140,Van Heusen Ultra Hoodie,Clothing,Van Heusen,720.0,5.0,Van Heusen Ultra Hoodie - Comfort meets fashion. Perfect for any occasion. This budget-friendly product offers great value for money.
P00141,Adidas Deluxe Jeans,Clothing,Adidas,310.0,3.9,"Express yourself with Adidas Deluxe Jeans from Adidas. Trendy design, lasting comfort. This budget-friendly product offers great value for money."
P00142,Lego Basic Building Blocks Set,Toys,Lego,3970.0,4.1,Spark imagination with Lego Basic Building Blocks Set from Lego. Safe and educational. This mid-range product offers great value for money.
P00143,Van Heusen Advanced Jacket,Clothing,Van Heusen,1590.0,2.9,Van Heusen Advanced Jacket - Comfort meets fashion. Perfect for any occasion. This mid-range product offers great value for money.
P00144,OnePlus Tablet Gold 64GB,Electronics,OnePlus,5350.0,4.8,Experience cutting-edge technology with OnePlus Tablet Gold 64GB. Features latest innovations from OnePlus. This premium product offers great value for money.
P00145,Garnier Silver Serum,Beauty,Garnier,160.0,4.0,Garnier Silver Serum - Your secret to radiant skin. Premium formulation by Garnier. This budget-friendly product offers great value for money.
P00146,Lego Royal Puzzle 1000 Pieces,Toys,Lego,8790.0,4.2,Lego Royal Puzzle 1000 Pieces - Fun for all ages. Quality entertainment by Lego. This premium product offers great value for money.
P00147,Britannia Deluxe Cereal 64g,Grocery,Britannia,730.0,4.3,Britannia Deluxe Cereal 64g - Goodness in every bite. Premium selection from Britannia. This budget-friendly product offers great value for money.
P00148,Oppo Bluetooth Speaker Neo,Electronics,Oppo,7020.0,3.4,Upgrade your tech life with Oppo Bluetooth Speaker Neo by Oppo. Engineered for excellence. This premium product offers great value for money.
P00149,Peter England Premium Jacket,Clothing,Peter England,10090.0,4.8,Step out in style with Peter England Premium Jacket. Made with premium quality fabric by Peter England. This premium product offers great value for money.
P00150,Britannia Classic Honey 55g,Grocery,Britannia,60.0,4.1,Britannia Classic Honey 55g - Goodness in every bite. Premium selection from Britannia. This budget-friendly product offers great value for money.
P00151,Adidas Classic Football,Sports,Adidas,930.0,2.5,Elevate your game with Adidas Classic Football by Adidas. Professional grade quality. This budget-friendly product offers great value for money.
P00152,Stories of Plus Adventures,Books,Oxford,390.0,4.6,Dive into Stories of Plus Adventures. An enriching read published by Oxford. This budget-friendly product offers great value for money.
P00153,Hot Wheels Deluxe Art Set,Toys,Hot Wheels,1350.0,3.8,Create happy memories with Hot Wheels Deluxe Art Set. Trusted toy from Hot Wheels. This mid-range product offers great value for money.
P00154,Complete Essential Reference,Books,Penguin,320.0,3.4,Complete Essential Reference - A must-read for every book lover. Thought-provoking content. This budget-friendly product offers great value for money.
P00155,Decathlon Pro Cricket Bat,Sports,Decathlon,2410.0,2.8,Train like a pro with Decathlon Pro Cricket Bat. Premium sports gear from Decathlon. This mid-range product offers great value for money.
P00156,Lego Lite Action Figure,Toys,Lego,3440.0,3.6,Lego Lite Action Figure - Fun for all ages. Quality entertainment by Lego. This mid-range product offers great value for money.
P00157,Britannia Smart Cooking Oil 750L,Grocery,Britannia,140.0,3.5,Healthy living starts with Britannia Smart Cooking Oil 750L. Fresh quality from Britannia. This budget-friendly product offers great value for money.
P00158,MTR Elite Cereal 16g,Grocery,MTR,130.0,,MTR Elite Cereal 16g - Goodness in every bite. Premium selection from MTR. This budget-friendly product offers great value for money.
P00159,Van Heusen Premium Sneakers,Clothing,Van Heusen,1060.0,3.5,"Express yourself with Van Heusen Premium Sneakers from Van Heusen. Trendy design, lasting comfort. This mid-range product offers great value for money."
