user_id,age,gender,location,preferences
U00024,25.0,Male,Jaipur,"{""categories"": [""Electronics""], ""brands"": [""Xiaomi"", ""LG""], ""price_range"": {""min"": 1645, ""max"": 28563}}"
U00025,28.0,Female,Mumbai,"{""categories"": [""Clothing""], ""brands"": [""Zara"", ""Van Heusen""], ""price_range"": {""min"": 1001, ""max"": 37617}}"
U00026,29.0,Female,Indore,"{""categories"": [""Beauty"", ""Clothing"", ""Electronics""], ""brands"": [""Maybelline"", ""Dove"", ""Adidas"", ""Nike"", ""Oppo""], ""price_range"": {""min"": 1503, ""max"": 12798}}"
U00027,39.0,Female,Delhi,"{""categories"": [""Home & Kitchen""], ""brands"": [""Bajaj"", ""Bosch""], ""price_range"": {""min"": 2960, ""max"": 10921}}"
U00028,38.0,Male,Ahmedabad,"{""categories"": [""Home & Kitchen""], ""brands"": [""Havells"", ""LG""], ""price_range"": {""min"": 2579, ""max"": 30907}}"
U00029,41.0,Female,Nagpur,"{""categories"": [""Toys""], ""brands"": [""Hasbro"", ""Hot Wheels""], ""price_range"": {""min"": 2987, ""max"": 12542}}"
U00030,30.0,Other,Indore,"{""categories"": [""Books"", ""Sports"", ""Home & Kitchen""], ""brands"": [""Oxford"", ""Scholastic"", ""Reebok"", ""Yonex"", ""LG""], ""price_range"": {""min"": 1637, ""max"": 12532}}"
U00031,40.0,Female,Hyderabad,"{""categories"": [""Books""], ""brands"": [""Penguin"", ""Scholastic""], ""price_range"": {""min"": 3028, ""max"": 17035}}"
U00032,46.0,Female,Mumbai,"{""categories"": [""Books""], ""brands"": [""Cambridge"", ""HarperCollins""], ""price_range"": {""min"": 2845, ""max"": 44057}}"
U00033,29.0,Other,Mumbai,"{""categories"": [""Clothing"", ""Sports"", ""Toys""], ""brands"": [""Nike"", ""Adidas"", ""Nike"", ""Decathlon"", ""Mattel""], ""price_range"": {""min"": 1352, ""max"": 42095}}"
U00034,21.0,Female,Jaipur,"{""categories"": [""Books"", ""Home & Kitchen""], ""brands"": [""Pearson"", ""Oxford"", ""Philips"", ""Havells""], ""price_range"": {""min"": 622, ""max"": 40285}}"
U00035,26.0,Male,Bangalore,"{""categories"": [""Grocery"", ""Clothing""], ""brands"": [""Patanjali"", ""Amul"", ""Van Heusen"", ""Adidas""], ""price_range"": {""min"": 1185, ""max"": 6969}}"
U00036,23.0,Male,Delhi,"{""categories"": [""Clothing"", ""Sports""], ""brands"": [""Van Heusen"", ""Puma"", ""Reebok"", ""Decathlon""], ""price_range"": {""min"": 1366, ""max"": 35958}}"
U00037,33.0,Male,Ahmedabad,"{""categories"": [""Electronics"", ""Sports""], ""brands"": [""Apple"", ""Samsung"", ""Reebok"", ""Wilson""], ""price_range"": {""min"": 2471, ""max"": 29857}}"
U00038,43.0,Male,Kolkata,"{""categories"": [""Clothing""], ""brands"": [""Levis"", ""Adidas""], ""price_range"": {""min"": 3197, ""max"": 30874}}"
U00039,34.0,Female,Hyderabad,"{""categories"": [""Grocery""], ""brands"": [""Nestle"", ""Amul""], ""price_range"": {""min"": 2171, ""max"": 10222}}"
U00040,36.0,Male,Bangalore,"{""categories"": [""Beauty"", ""Books"", ""Clothing""], ""brands"": [""The Body Shop"", ""Lakme"", ""Oxford"", ""Cambridge"", ""Adidas""], ""price_range"": {""min"": 2622, ""max"": 14701}}"
U00041,32.0,Female,Chandigarh,"{""categories"": [""Electronics"", ""Grocery"", ""Clothing""], ""brands"": [""Sony"", ""LG"", ""Amul"", ""Patanjali"", ""Levis""], ""price_range"": {""min"": 2186, ""max"": 35437}}"
U00042,42.0,Male,Pune,"{""categories"": [""Electronics""], ""brands"": [""Sony"", ""LG""], ""price_range"": {""min"": 3040, ""max"": 9121}}"
U00043,37.0,Male,Mumbai,"{""categories"": [""Toys""], ""brands"": [""Mattel"", ""Fisher-Price""], ""price_range"": {""min"": 2784, ""max"": 11127}}"
U00044,35.0,Male,Chennai,"{""categories"": [""Toys"", ""Sports""], ""brands"": [""Nerf"", ""Hot Wheels"", ""Wilson"", ""Decathlon""], ""price_range"": {""min"": 2355, ""max"": 10861}}"
U00045,47.0,Male,Ahmedabad,"{""categories"": [""Home & Kitchen""], ""brands"": [""Philips"", ""Bajaj""], ""price_range"": {""min"": 3450, ""max"": 34661}}"
U00046,57.0,Female,Hyderabad,"{""categories"": [""Electronics"", ""Beauty""], ""brands"": [""Samsung"", ""Xiaomi"", ""LOreal"", ""Lakme""], ""price_range"": {""min"": 4079, ""max"": 49237}}"
U00047,23.0,Female,Mumbai,"{""categories"": [""Grocery"", ""Beauty"", ""Toys""], ""brands"": [""Nestle"", ""Tata"", ""Dove"", ""Lakme"", ""Hasbro""], ""price_range"": {""min"": 757, ""max"": 34925}}"
U00048,34.0,Female,Lucknow,"{""categories"": [""Clothing""], ""brands"": [""Levis"", ""Peter England""], ""price_range"": {""min"": 2528, ""max"": 12580}}"
U00049,39.0,Female,Delhi,"{""categories"": [""Books""], ""brands"": [""Cambridge"", ""Pearson""], ""price_range"": {""min"": 2496, ""max"": 27987}}"
U00050,42.0,Female,Mumbai,"{""categories"": [""Clothing"", ""Books""], ""brands"": [""Zara"", ""Puma"", ""HarperCollins"", ""Scholastic""], ""price_range"": {""min"": 2817, ""max"": 49393}}"
U00051,42.0,Male,Hyderabad,"{""categories"": [""Beauty""], ""brands"": [""Nivea"", ""Maybelline""], ""price_range"": {""min"": 2676, ""max"": 31224}}"
U00052,42.0,Other,Chandigarh,"{""categories"": [""Beauty"", ""Books""], ""brands"": [""LOreal"", ""Lakme"", ""Penguin"", ""Oxford""], ""price_range"": {""min"": 3398, ""max"": 43309}}"
U00053,23.0,Male,Lucknow,"{""categories"": [""Clothing""], ""brands"": [""Adidas"", ""H&M""], ""price_range"": {""min"": 1380, ""max"": 20777}}"
U00054,39.0,Male,Hyderabad,"{""categories"": [""Beauty""], ""brands"": [""Maybelline"", ""LOreal""], ""price_range"": {""min"": 2332, ""max"": 31798}}"
U00055,25.0,Female,Coimbatore,"{""categories"": [""Clothing"", ""Grocery"", ""Home & Kitchen""], ""brands"": [""H&M"", ""Adidas"", ""Amul"", ""MTR"", ""Havells""], ""price_range"": {""min"": 843, ""max"": 27207}}"
U00056,27.0,Female,Indore,"{""categories"": [""Electronics""], ""brands"": [""OnePlus"", ""Xiaomi""], ""price_range"": {""min"": 938, ""max"": 24478}}"
U00057,36.0,Male,Delhi,"{""categories"": [""Home & Kitchen"", ""Grocery""], ""brands"": [""Pigeon"", ""Prestige"", ""Haldirams"", ""MTR""], ""price_range"": {""min"": 2192, ""max"": 34761}}"
U00058,34.0,Female,Bangalore,"{""categories"": [""Beauty""], ""brands"": [""LOreal"", ""Dove""], ""price_range"": {""min"": 2432, ""max"": 25181}}"
U00059,26.0,Female,Hyderabad,"{""categories"": [""Sports"", ""Clothing""], ""brands"": [""Wilson"", ""Decathlon"", ""H&M"", ""Peter England""], ""price_range"": {""min"": 966, ""max"": 31255}}"
U00060,46.0,Male,Ahmedabad,"{""categories"": [""Beauty"", ""Toys""], ""brands"": [""Lakme"", ""The Body Shop"", ""Nerf"", ""Fisher-Price""], ""price_range"": {""min"": 3459, ""max"": 21575}}"
U00061,23.0,Male,Nagpur,"{""categories"": [""Beauty""], ""brands"": [""Lakme"", ""The Body Shop""], ""price_range"": {""min"": 908, ""max"": 39499}}"
U00062,36.0,Female,Kolkata,"{""categories"": [""Home & Kitchen"", ""Sports"", ""Grocery""], ""brands"": [""Bajaj"", ""Bosch"", ""Reebok"", ""Yonex"", ""Haldirams""], ""price_range"": {""min"": 1948, ""max"": 27507}}"
U00063,29.0,Female,Jaipur,"{""categories"": [""Electronics"", ""Grocery""], ""brands"": [""Apple"", ""Xiaomi"", ""Nestle"", ""MTR""], ""price_range"": {""min"": 1242, ""max"": 48598}}"
U00064,28.0,Female,Mumbai,"{""categories"": [""Sports"", ""Beauty""], ""brands"": [""Yonex"", ""Adidas"", ""Nivea"", ""Maybelline""], ""price_range"": {""min"": 1971, ""max"": 30930}}"
U00065,31.0,Male,Mumbai,"{""categories"": [""Beauty"", ""Home & Kitchen""], ""brands"": [""The Body Shop"", ""Lakme"", ""Bosch"", ""Pigeon""], ""price_range"": {""min"": 1839, ""max"": 34194}}"
U00066,30.0,Male,Chandigarh,"{""categories"": [""Books""], ""brands"": [""Pearson"", ""Penguin""], ""price_range"": {""min"": 1923, ""max"": 42470}}"
U00067,21.0,Female,Kolkata,"{""categories"": [""Toys"", ""Beauty""], ""brands"": [""Nerf"", ""Hasbro"", ""Maybelline"", ""The Body Shop""], ""price_range"": {""min"": 1123, ""max"": 29916}}"
U00068,41.0,Female,Indore,"{""categories"": [""Home & Kitchen"", ""Books"", ""Electronics""], ""brands"": [""Bajaj"", ""Bosch"", ""Scholastic"", ""Oxford"", ""LG""], ""price_range"": {""min"": 2476, ""max"": 31309}}"
U00069,24.0,Male,Bangalore,"{""categories"": [""Clothing"", ""Books"", ""Electronics""], ""brands"": [""Peter England"", ""Adidas"", ""HarperCollins"", ""Oxford"", ""Xiaomi""], ""price_range"": {""min"": 1117, ""max"": 18880}}"
U00070,36.0,Female,Nagpur,"{""categories"": [""Books""], ""brands"": [""HarperCollins"", ""Penguin""], ""price_range"": {""min"": 1884, ""max"": 45649}}"
U00071,42.0,Female,Chandigarh,"{""categories"": [""Books"", ""Grocery""], ""brands"": [""Scholastic"", ""Pearson"", ""Patanjali"", ""Tata""], ""price_range"": {""min"": 2747, ""max"": 14986}}"
U00072,29.0,Female,Indore,"{""categories"": [""Beauty""], ""brands"": [""LOreal"", ""Garnier""], ""price_range"": {""min"": 2089, ""max"": 31374}}"
U00073,30.0,Female,Jaipur,"{""categories"": [""Toys"", ""Sports""], ""brands"": [""Hot Wheels"", ""Mattel"", ""Nike"", ""Decathlon""], ""price_range"": {""min"": 1777, ""max"": 33475}}"
U00074,31.0,Female,Coimbatore,"{""categories"": [""Beauty"", ""Clothing""], ""brands"": [""Dove"", ""LOreal"", ""Nike"", ""Peter England""], ""price_range"": {""min"": 1634, ""max"": 30020}}"
U00075,38.0,Female,Lucknow,"{""categories"": [""Toys"", ""Home & Kitchen""], ""brands"": [""Nerf"", ""Mattel"", ""IFB"", ""Havells""], ""price_range"": {""min"": 2758, ""max"": 50846}}"
U00076,29.0,Other,Jaipur,"{""categories"": [""Clothing""], ""brands"": [""Van Heusen"", ""H&M""], ""price_range"": {""min"": 1549, ""max"": 10849}}"
U00077,47.0,Male,Hyderabad,"{""categories"": [""Beauty"", ""Electronics"", ""Sports""], ""brands"": [""Nivea"", ""Lakme"", ""LG"", ""Sony"", ""Reebok""], ""price_range"": {""min"": 3870, ""max"": 20507}}"
U00078,24.0,Female,Chandigarh,"{""categories"": [""Sports"", ""Beauty"", ""Home & Kitchen""], ""brands"": [""Wilson"", ""Nike"", ""Garnier"", ""LOreal"", ""Havells""], ""price_range"": {""min"": 692, ""max"": 15853}}"
U00079,22.0,Male,Pune,"{""categories"": [""Sports"", ""Books""], ""brands"": [""Wilson"", ""Puma"", ""Cambridge"", ""HarperCollins""], ""price_range"": {""min"": 804, ""max"": 45553}}"
U00080,39.0,Female,Hyderabad,"{""categories"": [""Toys""], ""brands"": [""Nerf"", ""Fisher-Price""], ""price_range"": {""min"": 3022, ""max"": 31646}}"
U00081,39.0,Male,Chandigarh,"{""categories"": [""Home & Kitchen""], ""brands"": [""Havells"", ""Philips""], ""price_range"": {""min"": 2436, ""max"": 37157}}"
U00082,35.0,Male,Jaipur,"{""categories"": [""Electronics"", ""Home & Kitchen"", ""Toys""], ""brands"": [""LG"", ""Oppo"", ""Bosch"", ""Philips"", ""Fisher-Price""], ""price_range"": {""min"": 1777, ""max"": 51024}}"
U00083,30.0,Female,Chandigarh,"{""categories"": [""Books"", ""Beauty"", ""Grocery""], ""brands"": [""Pearson"", ""HarperCollins"", ""Garnier"", ""Lakme"", ""Britannia""], ""price_range"": {""min"": 1949, ""max"": 45587}}"
U00084,31.0,Male,Chandigarh,"{""categories"": [""Sports"", ""Electronics"", ""Clothing""], ""brands"": [""Wilson"", ""Puma"", ""LG"", ""Realme"", ""Levis""], ""price_range"": {""min"": 2252, ""max"": 37178}}"
U00085,40.0,Male,Mumbai,"{""categories"": [""Electronics"", ""Clothing""], ""brands"": [""Oppo"", ""OnePlus"", ""Adidas"", ""Levis""], ""price_range"": {""min"": 2266, ""max"": 23882}}"
U00086,26.0,Female,Pune,"{""categories"": [""Books""], ""brands"": [""Pearson"", ""Oxford""], ""price_range"": {""min"": 1547, ""max"": 13285}}"
U00087,25.0,Male,Ahmedabad,"{""categories"": [""Toys"", ""Clothing"", ""Grocery""], ""brands"": [""Nerf"", ""Lego"", ""Adidas"", ""Van Heusen"", ""Amul""], ""price_range"": {""min"": 1576, ""max"": 10388}}"
U00088,35.0,Male,Bangalore,"{""categories"": [""Grocery"", ""Electronics""], ""brands"": [""MTR"", ""Nestle"", ""Apple"", ""LG""], ""price_range"": {""min"": 2306, ""max"": 27425}}"
U00089,37.0,Female,Bangalore,"{""categories"": [""Grocery""], ""brands"": [""Haldirams"", ""MTR""], ""price_range"": {""min"": 2505, ""max"": 26440}}"
U00090,30.0,Male,Jaipur,"{""categories"": [""Sports""], ""brands"": [""Decathlon"", ""Reebok""], ""price_range"": {""min"": 1499, ""max"": 12968}}"
U00091,48.0,Female,Lucknow,"{""categories"": [""Toys""], ""brands"": [""Hot Wheels"", ""Fisher-Price""], ""price_range"": {""min"": 3089, ""max"": 21030}}"
U00092,48.0,Female,Coimbatore,"{""categories"": [""Home & Kitchen""], ""brands"": [""LG"", ""Philips""], ""price_range"": {""min"": 3901, ""max"": 8910}}"
U00093,46.0,Male,Chennai,"{""categories"": [""Books"", ""Toys"", ""Sports""], ""brands"": [""Scholastic"", ""Cambridge"", ""Fisher-Price"", ""Hasbro"", ""Puma""], ""price_range"": {""min"": 3412, ""max"": 51748}}"
U00094,40.0,Male,Delhi,"{""categories"": [""Beauty""], ""brands"": [""Maybelline"", ""LOreal""], ""price_range"": {""min"": 2780, ""max"": 38817}}"
U00095,49.0,Male,Kolkata,"{""categories"": [""Sports"", ""Beauty"", ""Electronics""], ""brands"": [""Adidas"", ""Decathlon"", ""Maybelline"", ""Nivea"", ""Sony""], ""price_range"": {""min"": 3646, ""max"": 14061}}"
U00096,30.0,Female,Hyderabad,"{""categories"": [""Clothing""], ""brands"": [""Van Heusen"", ""Levis""], ""price_range"": {""min"": 1204, ""max"": 25486}}"
U00097,58.0,Male,Kolkata,"{""categories"": [""Grocery"", ""Books"", ""Electronics""], ""brands"": [""Nestle"", ""Amul"", ""Oxford"", ""Cambridge"", ""Samsung""], ""price_range"": {""min"": 4615, ""max"": 37788}}"
U00098,33.0,Female,Coimbatore,"{""categories"": [""Toys""], ""brands"": [""Fisher-Price"", ""Lego""], ""price_range"": {""min"": 1724, ""max"": 17970}}"
U00099,47.0,Male,Kolkata,"{""categories"": [""Beauty"", ""Toys""], ""brands"": [""Nivea"", ""The Body Shop"", ""Hot Wheels"", ""Nerf""], ""price_range"": {""min"": 3478, ""max"": 39588}}"
U00100,40.0,Female,Indore,"{""categories"": [""Books"", ""Grocery""], ""brands"": [""HarperCollins"", ""Scholastic"", ""Amul"", ""Patanjali""], ""price_range"": {""min"": 2430, ""max"": 8352}}"
U00101,41.0,Female,Mumbai,"{""categories"": [""Toys"", ""Home & Kitchen""], ""brands"": [""Nerf"", ""Fisher-Price"", ""Bajaj"", ""IFB""], ""price_range"": {""min"": 2495, ""max"": 26524}}"
U00102,22.0,Female,Ahmedabad,"{""categories"": [""Home & Kitchen"", ""Beauty"", ""Toys""], ""brands"": [""Prestige"", ""Philips"", ""Dove"", ""The Body Shop"", ""Nerf""], ""price_range"": {""min"": 627, ""max"": 11986}}"
U00103,23.0,Male,Delhi,"{""categories"": [""Toys""], ""brands"": [""Hasbro"", ""Fisher-Price""], ""price_range"": {""min"": 629, ""max"": 22107}}"
U00104,28.0,Female,Bangalore,"{""categories"": [""Electronics"", ""Home & Kitchen""], ""brands"": [""Realme"", ""Sony"", ""Philips"", ""LG""], ""price_range"": {""min"": 1841, ""max"": 50720}}"
U00105,44.0,Male,Kolkata,"{""categories"": [""Sports""], ""brands"": [""Decathlon"", ""Reebok""], ""price_range"": {""min"": 3215, ""max"": 52456}}"
U00106,19.0,Female,Chennai,"{""categories"": [""Toys"", ""Home & Kitchen"", ""Electronics""], ""brands"": [""Fisher-Price"", ""Lego"", ""Prestige"", ""Bajaj"", ""LG""], ""price_range"": {""min"": 205, ""max"": 32837}}"
U00107,50.0,Female,Delhi,"{""categories"": [""Electronics"", ""Toys""], ""brands"": [""Samsung"", ""Apple"", ""Hasbro"", ""Lego""], ""price_range"": {""min"": 3978, ""max"": 22696}}"
U00108,54.0,Female,Lucknow,"{""categories"": [""Home & Kitchen""], ""brands"": [""Philips"", ""Pigeon""], ""price_range"": {""min"": 4430, ""max"": 46860}}"
U00109,39.0,Male,Ahmedabad,"{""categories"": [""Clothing""], ""brands"": [""Levis"", ""Peter England""], ""price_range"": {""min"": 2216, ""max"": 39625}}"
U00110,41.0,Male,Kochi,"{""categories"": [""Beauty"", ""Toys""], ""brands"": [""LOreal"", ""Maybelline"", ""Hot Wheels"", ""Nerf""], ""price_range"": {""min"": 2774, ""max"": 44142}}"
U00111,19.0,Male,Kochi,"{""categories"": [""Clothing""], ""brands"": [""Puma"", ""Peter England""], ""price_range"": {""min"": 276, ""max"": 42424}}"
U00112,24.0,Male,Delhi,"{""categories"": [""Electronics"", ""Home & Kitchen""], ""brands"": [""Realme"", ""LG"", ""Philips"", ""Prestige""], ""price_range"": {""min"": 941, ""max"": 37136}}"
U00113,42.0,Male,Lucknow,"{""categories"": [""Books"", ""Electronics"", ""Sports""], ""brands"": [""Scholastic"", ""Cambridge"", ""Apple"", ""Realme"", ""Yonex""], ""price_range"": {""min"": 3290, ""max"": 42009}}"
U00114,28.0,Male,Kolkata,"{""categories"": [""Toys"", ""Sports"", ""Home & Kitchen""], ""brands"": [""Lego"", ""Hot Wheels"", ""Wilson"", ""Puma"", ""Prestige""], ""price_range"": {""min"": 1017, ""max"": 39553}}"
U00115,24.0,Male,Pune,"{""categories"": [""Grocery"", ""Electronics""], ""brands"": [""Amul"", ""Britannia"", ""Oppo"", ""Xiaomi""], ""price_range"": {""min"": 1546, ""max"": 18888}}"
U00116,25.0,Male,Bangalore,"{""categories"": [""Toys"", ""Clothing""], ""brands"": [""Nerf"", ""Hot Wheels"", ""H&M"", ""Peter England""], ""price_range"": {""min"": 1090, ""max"": 21798}}"
U00117,62.0,Female,Indore,"{""categories"": [""Grocery"", ""Books""], ""brands"": [""Amul"", ""Haldirams"", ""Cambridge"", ""Scholastic""], ""price_range"": {""min"": 5160, ""max"": 29854}}"
U00118,41.0,Female,Kolkata,"{""categories"": [""Books"", ""Toys""], ""brands"": [""Penguin"", ""Scholastic"", ""Fisher-Price"", ""Hasbro""], ""price_range"": {""min"": 2587, ""max"": 26509}}"
U00119,,Female,Indore,"{""categories"": [""Grocery""], ""brands"": [""MTR"", ""Patanjali""], ""price_range"": {""min"": 2050, ""max"": 27129}}"
U00120,45.0,Female,Chandigarh,"{""categories"": [""Toys"", ""Home & Kitchen"", ""Electronics""], ""brands"": [""Fisher-Price"", ""Mattel"", ""Bajaj"", ""Philips"", ""LG""], ""price_range"": {""min"": 3445, ""max"": 23803}}"
U00121,59.0,Male,Indore,"{""categories"": [""Beauty"", ""Home & Kitchen""], ""brands"": [""LOreal"", ""Dove"", ""Havells"", ""LG""], ""price_range"": {""min"": 5004, ""max"": 17087}}"
U00122,29.0,Male,Mumbai,"{""categories"": [""Books""], ""brands"": [""Penguin"", ""HarperCollins""], ""price_range"": {""min"": 1981, ""max"": 42935}}"
U00123,48.0,Male,Kochi,"{""categories"": [""Toys"", ""Books""], ""brands"": [""Hot Wheels"", ""Hasbro"", ""Pearson"", ""Oxford""], ""price_range"": {""min"": 3234, ""max"": 49635}}"
U00124,33.0,Female,Chandigarh,"{""categories"": [""Grocery"", ""Books""], ""brands"": [""Patanjali"", ""Tata"", ""Penguin"", ""Scholastic""], ""price_range"": {""min"": 1855, ""max"": 38508}}"
U00125,36.0,Male,Hyderabad,"{""categories"": [""Toys"", ""Sports""], ""brands"": [""Hasbro"", ""Mattel"", ""Wilson"", ""Yonex""], ""price_range"": {""min"": 2780, ""max"": 48540}}"
U00126,48.0,Female,Kolkata,"{""categories"": [""Grocery"", ""Beauty""], ""brands"": [""MTR"", ""Britannia"", ""Nivea"", ""Garnier""], ""price_range"": {""min"": 3684, ""max"": 20348}}"
U00127,23.0,Male,Jaipur,"{""categories"": [""Sports"", ""Home & Kitchen"", ""Grocery""], ""brands"": [""Reebok"", ""Puma"", ""Havells"", ""Bajaj"", ""Nestle""], ""price_range"": {""min"": 1204, ""max"": 25454}}"
U00128,36.0,Male,Kochi,"{""categories"": [""Books""], ""brands"": [""Scholastic"", ""Penguin""], ""price_range"": {""min"": 1986, ""max"": 18032}}"
U00129,37.0,Male,Kochi,"{""categories"": [""Home & Kitchen""], ""brands"": [""Philips"", ""Pigeon""], ""price_range"": {""min"": 2661, ""max"": 48144}}"
U00130,23.0,Female,Kochi,"{""categories"": [""Grocery"", ""Home & Kitchen"", ""Sports""], ""brands"": [""MTR"", ""Patanjali"", ""Havells"", ""Prestige"", ""Decathlon""], ""price_range"": {""min"": 981, ""max"": 38902}}"
U00131,20.0,Female,Chennai,"{""categories"": [""Books"", ""Home & Kitchen""], ""brands"": [""HarperCollins"", ""Scholastic"", ""Prestige"", ""Bosch""], ""price_range"": {""min"": 224, ""max"": 18574}}"
U00132,47.0,Female,Jaipur,"{""categories"": [""Home & Kitchen""], ""brands"": [""Havells"", ""Prestige""], ""price_range"": {""min"": 3714, ""max"": 29205}}"
U00133,42.0,Female,Mumbai,"{""categories"": [""Beauty"", ""Sports""], ""brands"": [""Maybelline"", ""Garnier"", ""Decathlon"", ""Reebok""], ""price_range"": {""min"": 3375, ""max"": 13694}}"
U00134,31.0,Female,Delhi,"{""categories"": [""Electronics"", ""Beauty""], ""brands"": [""OnePlus"", ""LG"", ""Nivea"", ""The Body Shop""], ""price_range"": {""min"": 1690, ""max"": 51503}}"
U00135,41.0,Male,Kolkata,"{""categories"": [""Home & Kitchen""], ""brands"": [""Prestige"", ""Bajaj""], ""price_range"": {""min"": 2893, ""max"": 43955}}"
U00136,42.0,Male,Nagpur,"{""categories"": [""Grocery"", ""Electronics"", ""Toys""], ""brands"": [""Amul"", ""Patanjali"", ""Apple"", ""OnePlus"", ""Nerf""], ""price_range"": {""min"": 2551, ""max"": 42986}}"
