interaction_id,user_id,product_id,interaction_type,timestamp,rating,session_id,device,search_query
100,U0492,P04139,search,2026-03-19 12:51:44,,S1497,mobile,books
101,U0189,P03904,click,2026-01-13 09:51:44,,S1486,mobile,
102,U0239,P00602,add_to_cart,2025-12-27 18:51:44,,S0594,tablet,
103,U0328,P02076,view,2026-01-28 13:51:44,,S1987,desktop,
104,U0100,P02112,click,2026-02-21 07:51:44,,S1492,mobile,
105,U0414,P00609,view,2025-10-22 05:51:44,,S1078,desktop,
106,U0370,P01014,click,2025-10-20 13:51:44,,S0494,tablet,
107,U0047,P04025,view,2025-12-10 23:51:44,,S0662,mobile,
108,U0021,P00285,add_to_cart,2026-03-03 00:51:44,,S1560,tablet,
109,U0255,P02683,wishlist,2026-02-28 05:51:44,,S1968,tablet,
110,U0440,P00138,search,2026-01-30 19:51:44,,S1661,mobile,toys
111,U0301,P01026,click,2025-10-23 03:51:44,,S1894,mobile,
112,U0126,P03716,add_to_cart,2025-11-17 11:51:44,,S1494,desktop,
113,U0422,P00981,wishlist,2025-12-08 19:51:44,,S1807,tablet,
114,U0349,P02856,view,2026-03-10 17:51:44,,S0638,tablet,
115,U0037,P04309,add_to_cart,2025-10-28 10:51:44,,S0223,tablet,
116,U0150,P04209,click,2026-03-18 01:51:44,,S0286,desktop,
117,U0100,P01665,add_to_cart,2025-11-15 15:51:44,,S0151,mobile,
118,U0232,P03525,view,2026-01-18 18:51:44,,S1425,tablet,
119,U0439,P01066,click,2025-12-09 20:51:44,,S0088,desktop,
120,U0323,P01809,click,2025-12-13 06:51:44,,S0892,tablet,
121,U0024,P00839,add_to_cart,2025-12-05 19:51:44,,S1923,mobile,
122,U0484,P04167,search,2025-12-22 07:51:44,,S0815,tablet,toys
123,U0046,P00224,click,2025-09-30 05:51:44,,S0149,desktop,
124,U0482,P00819,wishlist,2026-01-28 11:51:44,,S1839,desktop,
125,U0183,P04139,click,2025-12-03 01:51:44,,S0223,desktop,
126,U0321,P03478,purchase,2025-10-11 15:51:44,4.0,S1075,desktop,
127,U0149,P00331,view,2026-01-06 02:51:44,,S0011,tablet,
128,U0230,P02807,view,2025-11-21 22:51:44,,S1870,tablet,
129,U0378,P01119,click,2026-01-29 12:51:44,,S1322,desktop,
130,U0315,P00438,view,2025-12-20 05:51:44,,S1416,tablet,
131,U0010,P04119,click,2025-10-31 01:51:44,,S1450,mobile,
132,U0412,P00154,add_to_cart,2025-11-29 11:51:44,,S1194,mobile,
133,U0207,P04693,add_to_cart,2025-10-15 06:51:44,,S1571,tablet,
134,U0294,P02429,purchase,2025-10-11 00:51:44,4.0,S1528,tablet,
135,U0347,P00824,search,2026-01-08 15:51:44,,S1097,desktop,electronics
136,U0297,P01102,view,2026-02-26 10:51:44,,S0044,tablet,
137,U0455,P01550,wishlist,2026-02-04 16:51:44,,S0379,mobile,
138,U0151,P03522,click,2025-11-01 18:51:44,,S0836,tablet,
139,U0359,P01329,click,2026-02-22 05:51:44,,S1565,desktop,
140,U0498,P03621,view,2026-01-28 10:51:44,,S1151,tablet,
141,U0117,P02482,add_to_cart,2025-10-21 08:51:44,,S1332,mobile,
142,U0461,P01135,add_to_cart,2025-11-01 19:51:44,,S1713,desktop,
143,U0424,P03358,search,2026-02-22 15:51:44,,S1848,tablet,books
144,U0290,P00186,click,2026-02-15 07:51:44,,S1210,desktop,
145,U0279,P02153,view,2025-11-04 07:51:44,,S1174,desktop,
146,U0177,P01906,view,2025-11-21 06:51:44,,S0202,tablet,
147,U0426,P01564,purchase,2026-01-03 01:51:44,5.0,S1892,mobile,
148,U0129,P02188,click,2026-02-14 12:51:44,,S1204,desktop,
149,U0436,P00246,purchase,2026-02-10 04:51:44,4.0,S0003,mobile,
150,U0342,P03558,add_to_cart,2025-12-15 17:51:44,,S0113,mobile,
151,U0427,P03172,click,2026-03-05 17:51:44,,S1369,mobile,
152,U0417,P00390,search,2025-12-18 03:51:44,,S0115,tablet,beauty
153,U0332,P00628,search,2026-01-01 18:51:44,,S0929,desktop,books
154,U0397,P04781,search,2025-10-11 06:51:44,,S1285,mobile,grocery
155,U0026,P01807,add_to_cart,2026-01-14 19:51:44,,S1835,desktop,
156,U0226,P03053,view,2025-11-30 15:51:44,,S1487,desktop,
157,U0391,P01066,click,2025-12-26 19:51:44,,S1138,mobile,
158,U0382,P03885,search,2026-03-12 14:51:44,,S1158,tablet,sports
159,U0478,P00231,click,2025-11-09 22:51:44,,S1093,desktop,
160,U0035,P01626,view,2026-01-24 17:51:44,,S1920,mobile,
161,U0489,P02932,add_to_cart,2026-02-09 13:51:44,,S0707,desktop,
162,U0056,P03832,view,2026-02-09 22:51:44,,S0209,mobile,
163,U0309,P00816,view,2025-12-06 12:51:44,,S1690,tablet,
164,U0343,P04042,click,2025-12-26 07:51:44,,S0249,mobile,
165,U0112,P02632,view,2026-03-11 20:51:44,,S1969,mobile,
166,U0443,P01103,search,2026-01-08 03:51:44,,S0089,mobile,clothing
167,U0221,P02072,click,2025-10-01 11:51:44,,S1704,mobile,
168,U0204,P01079,search,2025-11-16 22:51:44,,S1052,mobile,home & kitchen
169,U0469,P01363,add_to_cart,2025-11-19 01:51:44,,S1099,mobile,
170,U0053,P04199,search,2025-12-07 14:51:44,,S1173,tablet,books
171,U0175,P04025,purchase,2025-09-30 00:51:44,5.0,S1553,desktop,
172,U0444,P04419,view,2026-02-23 03:51:44,,S0363,tablet,
173,U0349,P03346,view,2026-01-25 01:51:44,,S1537,desktop,
174,U0492,P04038,purchase,2025-10-25 02:51:44,4.0,S0878,desktop,
175,U0349,P00975,click,2025-09-26 18:51:44,,S0825,desktop,
176,U0121,P04246,purchase,2026-02-15 19:51:44,5.0,S0005,desktop,
177,U0277,P01506,view,2025-12-25 09:51:44,,S1381,mobile,
178,U0045,P02999,view,2025-12-29 02:51:44,,S0917,mobile,
179,U0352,P00682,click,2026-02-08 17:51:44,,S1169,mobile,
180,U0168,P04762,wishlist,2025-11-02 01:51:44,,S1095,tablet,
181,U0138,P04588,search,2026-02-12 15:51:44,,S1828,mobile,electronics
182,U0436,P01995,add_to_cart,2025-11-06 06:51:44,,S1997,tablet,
183,U0307,P02055,click,2026-01-08 23:51:44,,S0267,desktop,
184,U0452,P00753,view,2025-11-28 23:51:44,,S1118,tablet,
185,U0235,P00294,add_to_cart,2025-12-02 17:51:44,,S0732,mobile,
186,U0121,P03291,click,2025-11-22 13:51:44,,S1105,tablet,
187,U0096,P02114,click,2026-03-05 00:51:44,,S0131,tablet,
188,U0322,P04121,add_to_cart,2025-11-18 07:51:44,,S1110,mobile,
189,U0439,P04238,click,2026-02-13 15:51:44,,S0656,tablet,
190,U0296,P04291,view,2025-11-10 19:51:44,,S0817,tablet,
191,U0096,P03000,view,2026-01-15 19:51:44,,S1359,desktop,
192,U0387,P03121,add_to_cart,2025-12-29 22:51:44,,S0936,tablet,
193,U0020,P01394,view,2025-11-06 14:51:44,,S1595,tablet,
194,U0176,P02199,view,2025-11-10 07:51:44,,S0944,tablet,
195,U0202,P02560,view,2026-01-19 23:51:44,,S1949,mobile,
196,U0350,P03182,purchase,2026-01-27 13:51:44,5.0,S1847,tablet,
197,U0479,P01551,view,2025-09-29 22:51:44,,S1876,desktop,
198,U0096,P04257,view,2025-12-27 07:51:44,,S0344,tablet,
199,U0088,P01822,view,2025-10-19 22:51:44,,S0758,mobile,
200,U0115,P04133,view,2025-12-14 08:51:44,,S0750,mobile,
201,U0488,P03010,search,2025-11-01 09:51:44,,S0033,tablet,home & kitchen
202,U0165,P02354,purchase,2026-01-26 19:51:44,4.0,S1287,tablet,
203,U0062,P04197,purchase,2026-03-05 16:51:44,5.0,S1227,desktop,
204,U0085,P02541,click,2026-01-15 18:51:44,,S0177,desktop,
205,U0108,P02662,view,2026-02-25 09:51:44,,S1695,desktop,
206,U0104,P03031,add_to_cart,2026-01-29 06:51:44,,S0975,tablet,
207,U0434,P00798,view,2025-12-05 05:51:44,,S1744,desktop,
208,U0024,P02012,wishlist,2026-02-13 21:51:44,,S1771,tablet,
209,U0411,P00325,purchase,2026-02-07 05:51:44,5.0,S1084,mobile,
210,U0357,P04518,view,2026-02-19 04:51:44,,S0014,desktop,
211,U0185,P04281,click,2025-12-25 07:51:44,,S0334,mobile,
212,U0479,P03348,view,2025-12-31 01:51:44,,S1038,desktop,
213,U0406,P04415,click,2026-01-07 14:51:44,,S0284,desktop,
214,U0362,P02410,click,2025-12-27 20:51:44,,S1205,desktop,
215,U0494,P02527,view,2026-02-20 10:51:44,,S1962,tablet,
216,U0467,P03361,wishlist,2026-03-18 15:51:44,,S1910,mobile,
217,U0452,P02534,click,2026-01-25 01:51:44,,S1326,mobile,
218,U0038,P01075,add_to_cart,2026-02-23 09:51:44,,S1779,desktop,
219,U0036,P02862,click,2025-11-11 13:51:44,,S1298,tablet,
220,U0218,P00760,view,2026-01-11 03:51:44,,S1075,tablet,
221,U0197,P01108,click,2025-09-29 12:51:44,,S0867,desktop,
222,U0461,P02332,add_to_cart,2026-02-13 20:51:44,,S0014,mobile,
223,U0188,P01374,search,2026-01-10 13:51:44,,S1945,mobile,books
224,U0270,P04557,purchase,2026-02-24 20:51:44,4.0,S1713,mobile,
225,U0065,P00086,add_to_cart,2025-10-16 17:51:44,,S0121,desktop,
226,U0379,P04357,view,2026-01-16 04:51:44,,S0328,mobile,
227,U0368,P00189,click,2025-11-24 07:51:44,,S1063,tablet,
228,U0045,P01340,search,2025-11-22 05:51:44,,S0658,desktop,clothing
229,U0383,P04605,add_to_cart,2025-11-21 15:51:44,,S0777,mobile,
230,U0442,P02672,view,2026-03-01 03:51:44,,S1673,tablet,
231,U0380,P00906,click,2025-11-04 14:51:44,,S1472,desktop,
232,U0492,P01426,view,2025-09-30 13:51:44,,S0407,desktop,
233,U0404,P01780,search,2025-10-08 01:51:44,,S1980,mobile,books
234,U0490,P00240,view,2026-02-08 15:51:44,,S1181,tablet,
235,U0466,P01367,wishlist,2025-12-05 09:51:44,,S1347,tablet,
236,U0039,P04612,click,2026-01-23 14:51:44,,S0666,tablet,
237,U0187,P02004,purchase,2025-11-06 13:51:44,5.0,S1925,desktop,
238,U0137,P03865,add_to_cart,2025-11-18 12:51:44,,S0331,desktop,
239,U0149,P04587,view,2026-01-19 01:51:44,,S1661,desktop,
240,U0313,P00955,view,2025-11-30 00:51:44,,S1690,tablet,
241,U0225,P03625,view,2026-03-10 09:51:44,,S0505,tablet,
242,U0462,P01053,view,2025-12-31 15:51:44,,S1187,tablet,
243,U0485,P01991,view,2026-03-16 22:51:44,,S1542,mobile,
244,U0069,P03254,add_to_cart,2026-03-11 02:51:44,,S0386,mobile,
245,U0020,P02174,purchase,2025-11-19 00:51:44,5.0,S1405,desktop,
246,U0266,P02706,add_to_cart,2025-09-27 20:51:44,,S1479,tablet,
247,U0450,P01619,view,2025-11-08 07:51:44,,S1893,mobile,
248,U0409,P00332,view,2026-01-12 10:51:44,,S0484,desktop,
249,U0331,P00912,click,2025-12-26 14:51:44,,S1954,mobile,
250,U0447,P00767,view,2026-02-13 23:51:44,,S1183,mobile,
251,U0399,P04808,add_to_cart,2025-10-06 19:51:44,,S0190,desktop,
252,U0102,P00559,add_to_cart,2026-02-02 19:51:44,,S1181,desktop,
253,U0241,P00871,add_to_cart,2026-02-23 15:51:44,,S0815,mobile,
254,U0325,P00981,view,2026-02-21 22:51:44,,S1893,tablet,
255,U0492,P01008,view,2025-10-19 20:51:44,,S1380,mobile,
256,U0060,P00811,view,2026-02-06 18:51:44,,S0248,tablet,
257,U0370,P02917,add_to_cart,2025-11-09 05:51:44,,S1910,mobile,
258,U0102,P01754,view,2025-10-29 13:51:44,,S0884,desktop,
259,U0173,P01335,click,2025-10-05 10:51:44,,S1591,tablet,
260,U0054,P01475,view,2026-01-11 19:51:44,,S1618,tablet,
261,U0350,P02813,search,2025-10-27 22:51:44,,S0669,mobile,electronics
262,U0077,P01093,view,2025-10-24 13:51:44,,S1435,desktop,
263,U0496,P00511,purchase,2025-10-08 19:51:44,5.0,S0440,tablet,
264,U0342,P01057,purchase,2025-10-26 04:51:44,5.0,S1590,mobile,
265,U0118,P00972,view,2026-02-04 06:51:44,,S1916,desktop,
266,U0282,P03170,view,2026-02-19 13:51:44,,S1734,mobile,
267,U0133,P01280,view,2025-11-21 18:51:44,,S0866,mobile,
268,U0186,P01832,click,2026-01-12 18:51:44,,S0341,tablet,
269,U0318,P03542,click,2025-10-24 19:51:44,,S0845,mobile,
270,U0067,P04616,add_to_cart,2026-02-25 09:51:44,,S0655,desktop,
271,U0488,P00063,view,2026-01-10 18:51:44,,S0512,mobile,
272,U0064,P03346,wishlist,2025-10-30 23:51:44,,S0925,desktop,
273,U0217,P02526,add_to_cart,2025-12-20 05:51:44,,S1209,tablet,
274,U0399,P03048,view,2026-02-08 12:51:44,,S0515,desktop,
275,U0431,P03793,click,2026-02-24 18:51:44,,S1137,mobile,
276,U0394,P00350,view,2025-12-09 02:51:44,,S0471,mobile,
277,U0231,P04006,view,2025-11-12 18:51:44,,S1115,mobile,
278,U0265,P02794,click,2026-02-15 01:51:44,,S0063,tablet,
279,U0056,P00499,click,2026-02-02 03:51:44,,S0087,desktop,
280,U0232,P03771,add_to_cart,2025-12-29 17:51:44,,S1985,mobile,
281,U0417,P02959,wishlist,2026-01-13 04:51:44,,S0615,mobile,
282,U0411,P01518,view,2025-10-31 06:51:44,,S0373,desktop,
283,U0273,P02911,click,2025-09-25 06:51:44,,S1221,desktop,
284,U0255,P04497,view,2026-02-01 22:51:44,,S1646,mobile,
285,U0311,P01956,purchase,2025-12-14 06:51:44,5.0,S0162,desktop,
286,U0300,P01089,add_to_cart,2025-11-23 19:51:44,,S0066,mobile,
287,U0137,P00759,view,2025-12-29 23:51:44,,S1207,mobile,
288,U0387,P00394,click,2025-11-19 22:51:44,,S0958,mobile,
289,U0468,P02143,click,2025-11-05 02:51:44,,S0140,tablet,
290,U0289,P02209,click,2026-01-03 12:51:44,,S1368,tablet,
291,U0034,P00392,view,2025-10-20 03:51:44,,S0078,tablet,
292,U0153,P03080,purchase,2025-11-09 04:51:44,4.0,S1328,mobile,
293,U0102,P00971,purchase,2025-12-17 00:51:44,5.0,S0600,mobile,
294,U0211,P00816,view,2025-11-20 10:51:44,,S1951,mobile,
295,U0249,P02188,view,2026-02-08 09:51:44,,S0895,mobile,
296,U0108,P04223,add_to_cart,2025-10-23 10:51:44,,S1194,tablet,
297,U0467,P00116,view,2026-01-16 14:51:44,,S1810,desktop,
298,U0435,P01144,view,2025-11-25 18:51:45,,S1056,desktop,
299,U0420,P01406,view,2025-12-09 18:51:45,,S1723,mobile,
300,U0339,P02125,view,2025-11-05 17:51:45,,S0482,desktop,
301,U0351,P04683,click,2025-11-15 01:51:45,,S0919,mobile,
302,U0460,P00132,add_to_cart,2025-11-07 03:51:45,,S1282,tablet,
303,U0494,P04120,view,2026-03-06 02:51:45,,S1901,desktop,
304,U0458,P01327,purchase,2025-11-29 08:51:45,5.0,S1511,mobile,
305,U0293,P04153,click,2026-03-22 02:51:45,,S0354,mobile,
306,U0416,P03525,click,2025-11-22 22:51:45,,S0192,mobile,
307,U0432,P00755,view,2025-12-11 17:51:45,,S1566,tablet,
308,U0343,P04153,search,2025-10-03 01:51:45,,S0554,mobile,clothing
309,U0308,P04093,view,2025-12-14 01:51:45,,S1932,tablet,
310,U0477,P00410,view,2025-10-25 08:51:45,,S0470,tablet,
311,U0061,P04817,click,2025-12-24 06:51:45,,S0091,desktop,
312,U0461,P01480,click,2025-10-02 21:51:45,,S1133,tablet,
313,U0115,P02900,view,2025-11-27 01:51:45,,S1635,tablet,
314,U0344,P02261,add_to_cart,2025-10-21 06:51:45,,S1438,tablet,
315,U0145,P03083,click,2026-01-19 20:51:45,,S0543,tablet,
316,U0220,P04302,view,2026-03-08 05:51:45,,S0024,mobile,
317,U0288,P01079,view,2025-12-23 01:51:45,,S1557,mobile,
318,U0423,P04388,click,2026-03-24 03:51:45,,S1982,tablet,
319,U0492,P01819,view,2025-12-12 02:51:45,,S1427,tablet,
320,U0117,P01113,wishlist,2025-12-13 04:51:45,,S0310,tablet,
321,U0228,P03473,view,2026-03-08 17:51:45,,S0615,mobile,
322,U0110,P00926,click,2026-01-20 08:51:45,,S1355,tablet,
323,U0328,P01676,add_to_cart,2026-02-25 12:51:45,,S0437,desktop,
324,U0369,P02829,view,2026-01-20 18:51:45,,S1881,desktop,
325,U0165,P03384,view,2025-09-26 19:51:45,,S1864,mobile,
326,U0185,P02281,purchase,2025-11-18 15:51:45,4.0,S1263,mobile,
327,U0220,P01771,add_to_cart,2026-01-13 19:51:45,,S1614,tablet,
328,U0214,P03960,purchase,2025-11-20 20:51:45,3.0,S1057,mobile,
329,U0359,P04400,click,2026-03-24 07:51:45,,S0946,tablet,
330,U0075,P03522,view,2025-11-12 16:51:45,,S1613,mobile,
331,U0430,P03235,add_to_cart,2026-01-16 02:51:45,,S0865,tablet,
332,U0340,P03396,add_to_cart,2025-11-04 05:51:45,,S0639,tablet,
333,U0196,P00793,view,2025-10-25 11:51:45,,S0643,tablet,
334,U0026,P04763,add_to_cart,2026-03-09 22:51:45,,S1600,desktop,
335,U0185,P00293,click,2026-03-06 04:51:45,,S0161,desktop,
336,U0350,P01861,purchase,2025-11-07 02:51:45,5.0,S0425,desktop,
337,U0161,P00949,view,2025-10-27 11:51:45,,S0672,desktop,
338,U0307,P00070,view,2025-10-22 23:51:45,,S1334,tablet,
339,U0155,P02448,click,2025-10-27 11:51:45,,S0367,mobile,
340,U0151,P03073,add_to_cart,2026-01-12 20:51:45,,S1765,tablet,
341,U0315,P03336,view,2025-12-03 11:51:45,,S0332,mobile,
342,U0420,P02546,view,2025-12-21 04:51:45,,S1549,desktop,
343,U0175,P04740,click,2026-01-05 09:51:45,,S1976,mobile,
344,U0099,P04986,view,2026-02-19 12:51:45,,S1756,desktop,
345,U0133,P03124,purchase,2025-10-13 14:51:45,4.0,S0690,tablet,
346,U0149,P02549,add_to_cart,2025-12-26 12:51:45,,S1896,mobile,
347,U0005,P03473,view,2026-02-05 16:51:45,,S0359,mobile,
348,U0151,P03361,wishlist,2025-11-21 21:51:45,,S1345,desktop,
349,U0160,P04925,view,2026-03-17 16:51:45,,S0162,mobile,
350,U0144,P00819,view,2025-11-16 11:51:45,,S1093,tablet,
351,U0328,P00077,purchase,2025-11-07 19:51:45,4.0,S1206,tablet,
352,U0203,P04506,view,2026-03-04 14:51:45,,S1184,tablet,
353,U0452,P03638,search,2026-03-21 11:51:45,,S0914,mobile,toys
354,U0368,P01384,add_to_cart,2025-12-06 17:51:45,,S0302,tablet,
355,U0057,P00439,view,2026-01-19 12:51:45,,S1507,desktop,
356,U0176,P04915,add_to_cart,2025-11-08 18:51:45,,S0945,tablet,
357,U0180,P01383,click,2026-01-16 03:51:45,,S0359,desktop,
358,U0066,P01900,click,2026-01-19 08:51:45,,S1633,desktop,
359,U0025,P02157,view,2025-12-20 10:51:45,,S1336,desktop,
360,U0174,P01613,purchase,2026-03-05 16:51:45,4.0,S0397,mobile,
361,U0479,P03666,view,2025-11-07 00:51:45,,S1568,tablet,
362,U0375,P00696,click,2025-12-13 13:51:45,,S0498,tablet,
363,U0151,P01559,click,2026-03-17 13:51:45,,S1777,tablet,
364,U0276,P00557,search,2025-12-23 21:51:45,,S0026,tablet,grocery
365,U0278,P04807,purchase,2026-01-20 18:51:45,4.0,S1464,tablet,
366,U0100,P02628,add_to_cart,2025-11-16 15:51:45,,S0547,tablet,
367,U0458,P02525,view,2025-09-25 23:51:45,,S1517,mobile,
368,U0264,P03467,click,2026-01-10 03:51:45,,S1854,mobile,
369,U0432,P02441,view,2025-10-04 08:51:45,,S0536,desktop,
370,U0219,P04324,search,2025-09-29 17:51:45,,S0974,tablet,clothing
371,U0318,P00065,add_to_cart,2025-10-08 20:51:45,,S1372,desktop,
372,U0124,P01287,click,2025-11-16 03:51:45,,S1354,desktop,
373,U0448,P04919,click,2025-12-06 01:51:45,,S1081,tablet,
374,U0398,P02311,wishlist,2026-01-03 04:51:45,,S1186,tablet,
375,U0069,P00858,view,2025-11-28 22:51:45,,S0282,desktop,
376,U0193,P04721,add_to_cart,2025-12-16 21:51:45,,S0518,mobile,
377,U0138,P04463,add_to_cart,2025-10-24 05:51:45,,S0334,tablet,
378,U0121,P01304,wishlist,2025-10-09 22:51:45,,S1126,desktop,
379,U0016,P04562,view,2026-02-08 03:51:45,,S1776,tablet,
