product_id,name,category,brand,price,rating,description,subcategory,num_reviews,stock,discount_percent,tags
P00014,Hot Wheels Elite Musical Toy,Toys,Hot Wheels,400.0,3.7,Spark imagination with Hot Wheels Elite Musical Toy from Hot Wheels. Safe and educational. This budget-friendly product offers great value for money.,Musical Toy,1301,458,0,Toys|Hot Wheels|Musical Toy
P00015,Nestle Silver Cooking Oil 1000L,Grocery,Nestle,100.0,5.0,Nestle Silver Cooking Oil 1000L - Goodness in every bite. Premium selection from Nestle. This budget-friendly product offers great value for money.,Cooking Oil,606,87,0,Grocery|Nestle|Cooking Oil
P00016,Yonex Ultra Swimming Goggles,Sports,Yonex,9600.0,4.1,Yonex Ultra Swimming Goggles - Engineered for athletes. Durable and high-performance. This premium product offers great value for money.,Swimming Goggles,1413,372,5,Sports|Yonex|Swimming Goggles
P00017,Nerf Elite Educational Kit,Toys,Nerf,300.0,3.9,Spark imagination with Nerf Elite Educational Kit from Nerf. Safe and educational. This budget-friendly product offers great value for money.,Educational Kit,1059,99,0,Toys|Nerf|Educational Kit
P00018,Havells Classic Air Fryer,Home & Kitchen,Havells,12920.0,4.1,Transform your kitchen with Havells Classic Air Fryer. Reliable performance by Havells. This premium product offers great value for money.,Air Fryer,269,359,10,Home & Kitchen|Havells|Air Fryer
P00019,Xiaomi Smartphone Plus 128GB,Electronics,Xiaomi,1640.0,3.6,Xiaomi Smartphone Plus 128GB - Perfect blend of style and performance. High-quality build with premium features. This mid-range product offers great value for money.,Smartphone,241,151,0,Electronics|Xiaomi|Smartphone
P00020,Nerf Elite Doll House,Toys,Nerf,2350.0,3.4,Nerf Elite Doll House - Fun for all ages. Quality entertainment by Nerf. This mid-range product offers great value for money.,Doll House,361,130,0,Toys|Nerf|Doll House
P00021,Levis Deluxe Formal Shirt,Clothing,Levis,12530.0,4.6,Levis Deluxe Formal Shirt - Comfort meets fashion. Perfect for any occasion. This premium product offers great value for money.,Formal Shirt,1124,149,0,Clothing|Levis|Formal Shirt
P00022,Apple Camera Silver 128MP,Electronics,Apple,70990.0,3.1,Upgrade your tech life with Apple Camera Silver 128MP by Apple. Engineered for excellence. This premium product offers great value for money.,Camera,631,308,0,Electronics|Apple|Camera
P00023,Samsung Smartwatch Royal Edition,Electronics,Samsung,86420.0,3.1,Experience cutting-edge technology with Samsung Smartwatch Royal Edition. Features latest innovations from Samsung. This premium product offers great value for money.,Smartwatch,1189,257,0,Electronics|Samsung|Smartwatch
P00024,Decathlon Ultra Running Shoes,Sports,Decathlon,21330.0,3.8,Train like a pro with Decathlon Ultra Running Shoes. Premium sports gear from Decathlon. This premium product offers great value for money.,Running Shoes,1422,343,15,Sports|Decathlon|Running Shoes
P00025,Decathlon Plus Running Shoes,Sports,Decathlon,2820.0,3.3,Elevate your game with Decathlon Plus Running Shoes by Decathlon. Professional grade quality. This mid-range product offers great value for money.,Running Shoes,219,491,0,Sports|Decathlon|Running Shoes
P00026,"Xiaomi Laptop Royal Series 50""",Electronics,Xiaomi,1590.0,2.7,"Upgrade your tech life with Xiaomi Laptop Royal Series 50"" by Xiaomi. Engineered for excellence. This mid-range product offers great value for money.",Laptop,1284,413,0,Electronics|Xiaomi|Laptop
P00027,Peter England Essential Sneakers,Clothing,Peter England,2440.0,3.1,Step out in style with Peter England Essential Sneakers. Made with premium quality fabric by Peter England. This mid-range product offers great value for money.,Sneakers,562,293,0,Clothing|Peter England|Sneakers
P00028,Nike Deluxe Polo Shirt,Clothing,Nike,3980.0,3.3,"Express yourself with Nike Deluxe Polo Shirt from Nike. Trendy design, lasting comfort. This mid-range product offers great value for money.",Polo Shirt,1631,385,0,Clothing|Nike|Polo Shirt
P00029,Reebok Advanced Fitness Band,Sports,Reebok,10120.0,4.1,Elevate your game with Reebok Advanced Fitness Band by Reebok. Professional grade quality. This premium product offers great value for money.,Fitness Band,1534,191,0,Sports|Reebok|Fitness Band
P00030,"Samsung Smart TV 50"" Basic",Electronics,Samsung,29950.0,3.7,"Samsung Smart TV 50"" Basic - Perfect blend of style and performance. High-quality build with premium features. This premium product offers great value for money.",TV,1621,443,0,Electronics|Samsung|TV
P00031,Oppo Smartphone Eco 500GB,Electronics,Oppo,88130.0,4.5,Upgrade your tech life with Oppo Smartphone Eco 500GB by Oppo. Engineered for excellence. This premium product offers great value for money.,Smartphone,1341,276,0,Electronics|Oppo|Smartphone
P00032,IFB Basic Water Purifier,Home & Kitchen,IFB,38270.0,2.4,Transform your kitchen with IFB Basic Water Purifier. Reliable performance by IFB. This premium product offers great value for money.,Water Purifier,979,160,10,Home & Kitchen|IFB|Water Purifier
P00033,Tata Neo Chocolate Pack,Grocery,Tata,1500.0,3.1,Pure and natural Tata Neo Chocolate Pack by Tata. Quality you can trust. This mid-range product offers great value for money.,Chocolate,606,459,0,Grocery|Tata|Chocolate
P00034,Reebok Plus Running Shoes,Sports,Reebok,6310.0,3.2,Elevate your game with Reebok Plus Running Shoes by Reebok. Professional grade quality. This premium product offers great value for money.,Running Shoes,1079,313,0,Sports|Reebok|Running Shoes
P00035,LG Bluetooth Speaker Basic,Electronics,LG,4310.0,4.0,Experience cutting-edge technology with LG Bluetooth Speaker Basic. Features latest innovations from LG. This mid-range product offers great value for money.,Bluetooth Speaker,1406,21,0,Electronics|LG|Bluetooth Speaker
P00036,LG Smartphone Elite 8GB,Electronics,LG,128310.0,3.4,Experience cutting-edge technology with LG Smartphone Elite 8GB. Features latest innovations from LG. This premium product offers great value for money.,Smartphone,739,252,0,Electronics|LG|Smartphone
P00037,Nestle Pro Rice 256kg,Grocery,Nestle,580.0,3.6,Nestle Pro Rice 256kg - Goodness in every bite. Premium selection from Nestle. This budget-friendly product offers great value for money.,Rice,193,235,0,Grocery|Nestle|Rice
P00038,Learn Eco in 30 Days,Books,Scholastic,1060.0,3.1,Expand your horizons with Learn Eco in 30 Days. Available from Scholastic publications. This mid-range product offers great value for money.,Fiction,481,344,0,Books|Scholastic|Fiction
P00039,Adidas Essential Jeans,Clothing,Adidas,1870.0,3.1,Step out in style with Adidas Essential Jeans. Made with premium quality fabric by Adidas. This mid-range product offers great value for money.,Jeans,1020,48,25,Clothing|Adidas|Jeans
P00040,Haldirams Plus Flour 750kg,Grocery,Haldirams,30.0,3.3,Healthy living starts with Haldirams Plus Flour 750kg. Fresh quality from Haldirams. This budget-friendly product offers great value for money.,Flour,861,474,0,Grocery|Haldirams|Flour
P00041,LOreal Advanced Makeup Kit,Beauty,LOreal,2990.0,3.8,Enhance your beauty routine with LOreal Advanced Makeup Kit by LOreal. Dermatologically tested. This mid-range product offers great value for money.,Makeup Kit,759,58,0,Beauty|LOreal|Makeup Kit
P00042,LOreal Deluxe Makeup Kit,Beauty,LOreal,2500.0,2.9,Enhance your beauty routine with LOreal Deluxe Makeup Kit by LOreal. Dermatologically tested. This mid-range product offers great value for money.,Makeup Kit,463,169,0,Beauty|LOreal|Makeup Kit
P00043,Reebok Silver Cycling Helmet,Sports,Reebok,2410.0,4.6,Elevate your game with Reebok Silver Cycling Helmet by Reebok. Professional grade quality. This mid-range product offers great value for money.,Cycling Helmet,1110,475,0,Sports|Reebok|Cycling Helmet
P00044,Plus Self Help Guide,Books,HarperCollins,420.0,4.5,Expand your horizons with Plus Self Help Guide. Available from HarperCollins publications. This budget-friendly product offers great value for money.,Self Help,2185,187,0,Books|HarperCollins|Self Help
P00045,History of Ultra Civilizations,Books,Penguin,470.0,3.5,Dive into History of Ultra Civilizations. An enriching read published by Penguin. This budget-friendly product offers great value for money.,History,1738,463,0,Books|Penguin|History
P00046,Haldirams Classic Honey 8g,Grocery,Haldirams,990.0,3.8,Haldirams Classic Honey 8g - Goodness in every bite. Premium selection from Haldirams. This budget-friendly product offers great value for money.,Honey,879,270,25,Grocery|Haldirams|Honey
P00047,OnePlus Tablet Eco 128GB,Electronics,OnePlus,12860.0,4.0,Experience cutting-edge technology with OnePlus Tablet Eco 128GB. Features latest innovations from OnePlus. This premium product offers great value for money.,Tablet,409,189,25,Electronics|OnePlus|Tablet
P00048,OnePlus Camera Eco 750MP,Electronics,OnePlus,13750.0,4.3,Experience cutting-edge technology with OnePlus Camera Eco 750MP. Features latest innovations from OnePlus. This premium product offers great value for money.,Camera,404,445,0,Electronics|OnePlus|Camera
P00049,Fisher-Price Pro Art Set,Toys,Fisher-Price,210.0,3.8,Spark imagination with Fisher-Price Pro Art Set from Fisher-Price. Safe and educational. This budget-friendly product offers great value for money.,Art Set,968,174,0,Toys|Fisher-Price|Art Set
P00050,Hasbro Basic Educational Kit,Toys,Hasbro,1660.0,4.4,Create happy memories with Hasbro Basic Educational Kit. Trusted toy from Hasbro. This mid-range product offers great value for money.,Educational Kit,418,445,0,Toys|Hasbro|Educational Kit
P00051,Lakme Neo Makeup Kit,Beauty,Lakme,950.0,3.9,Discover the magic of Lakme Neo Makeup Kit. Trusted skincare from Lakme. This budget-friendly product offers great value for money.,Makeup Kit,930,50,0,Beauty|Lakme|Makeup Kit
P00052,Decathlon Lite Dumbbell Set 8kg,Sports,Decathlon,390.0,3.2,Decathlon Lite Dumbbell Set 8kg - Engineered for athletes. Durable and high-performance. This budget-friendly product offers great value for money.,Dumbbell Set,864,363,0,Sports|Decathlon|Dumbbell Set
P00053,Fisher-Price Classic Building Blocks Set,Toys,Fisher-Price,350.0,3.9,Fisher-Price Classic Building Blocks Set - Fun for all ages. Quality entertainment by Fisher-Price. This budget-friendly product offers great value for money.,Building Blocks,1431,54,0,Toys|Fisher-Price|Building Blocks
P00054,The Body Shop Gold Makeup Kit,Beauty,The Body Shop,170.0,3.2,Discover the magic of The Body Shop Gold Makeup Kit. Trusted skincare from The Body Shop. This budget-friendly product offers great value for money.,Makeup Kit,701,243,0,Beauty|The Body Shop|Makeup Kit
P00055,Maybelline Gold Face Wash,Beauty,Maybelline,780.0,3.8,Enhance your beauty routine with Maybelline Gold Face Wash by Maybelline. Dermatologically tested. This budget-friendly product offers great value for money.,Face Wash,1842,319,0,Beauty|Maybelline|Face Wash
P00056,Prestige Essential Washing Machine 16kg,Home & Kitchen,Prestige,53590.0,3.5,Transform your kitchen with Prestige Essential Washing Machine 16kg. Reliable performance by Prestige. This premium product offers great value for money.,Washing Machine,263,130,25,Home & Kitchen|Prestige|Washing Machine
P00057,LOreal Eco Serum,Beauty,LOreal,330.0,3.9,Discover the magic of LOreal Eco Serum. Trusted skincare from LOreal. This budget-friendly product offers great value for money.,Serum,1689,484,0,Beauty|LOreal|Serum
P00058,LOreal Essential Sunscreen SPF55,Beauty,LOreal,1590.0,4.0,Discover the magic of LOreal Essential Sunscreen SPF55. Trusted skincare from LOreal. This mid-range product offers great value for money.,Sunscreen,1140,306,0,Beauty|LOreal|Sunscreen
P00059,Apple Tablet Smart 128GB,Electronics,Apple,15420.0,4.7,Experience cutting-edge technology with Apple Tablet Smart 128GB. Features latest innovations from Apple. This premium product offers great value for money.,Tablet,746,134,0,Electronics|Apple|Tablet
P00060,Amul Gold Tea 8g,Grocery,Amul,1670.0,4.2,Amul Gold Tea 8g - Goodness in every bite. Premium selection from Amul. This mid-range product offers great value for money.,Tea,2098,20,30,Grocery|Amul|Tea
P00061,Xiaomi Power Bank 64mAh,Electronics,Xiaomi,5890.0,4.1,Xiaomi Power Bank 64mAh - Perfect blend of style and performance. High-quality build with premium features. This premium product offers great value for money.,Power Bank,979,328,5,Electronics|Xiaomi|Power Bank
P00062,Apple Tablet Basic 256GB,Electronics,Apple,16080.0,2.7,Experience cutting-edge technology with Apple Tablet Basic 256GB. Features latest innovations from Apple. This premium product offers great value for money.,Tablet,296,166,15,Electronics|Apple|Tablet
P00063,Nestle Essential Rice 128kg,Grocery,Nestle,320.0,4.5,Nestle Essential Rice 128kg - Goodness in every bite. Premium selection from Nestle. This budget-friendly product offers great value for money.,Rice,1355,273,0,Grocery|Nestle|Rice
P00064,Philips Ultra Microwave Oven,Home & Kitchen,Philips,1630.0,3.6,Bring home Philips Ultra Microwave Oven by Philips. Built for modern households. This mid-range product offers great value for money.,Microwave,780,387,0,Home & Kitchen|Philips|Microwave
P00065,"LG Laptop Pro Series 32""",Electronics,LG,40610.0,3.8,"Upgrade your tech life with LG Laptop Pro Series 32"" by LG. Engineered for excellence. This premium product offers great value for money.",Laptop,1888,88,0,Electronics|LG|Laptop
P00066,MTR Pro Flour 1000kg,Grocery,MTR,1400.0,5.0,Healthy living starts with MTR Pro Flour 1000kg. Fresh quality from MTR. This mid-range product offers great value for money.,Flour,1731,315,0,Grocery|MTR|Flour
P00067,Essential Science Fiction Novel,Books,Penguin,140.0,3.4,Expand your horizons with Essential Science Fiction Novel. Available from Penguin publications. This budget-friendly product offers great value for money.,Fiction,1352,13,25,Books|Penguin|Fiction
P00068,Yonex Plus Running Shoes,Sports,Yonex,15750.0,4.8,Elevate your game with Yonex Plus Running Shoes by Yonex. Professional grade quality. This premium product offers great value for money.,Running Shoes,1027,241,0,Sports|Yonex|Running Shoes
P00069,Peter England Deluxe Jeans,Clothing,Peter England,6710.0,4.0,Step out in style with Peter England Deluxe Jeans. Made with premium quality fabric by Peter England. This premium product offers great value for money.,Jeans,1642,264,0,Clothing|Peter England|Jeans
P00070,Stories of Neo Adventures,Books,Scholastic,230.0,4.2,Stories of Neo Adventures - A must-read for every book lover. Thought-provoking content. This budget-friendly product offers great value for money.,Fiction,352,345,0,Books|Scholastic|Fiction
P00071,Van Heusen Ultra Dress,Clothing,Van Heusen,420.0,3.8,Van Heusen Ultra Dress - Comfort meets fashion. Perfect for any occasion. This budget-friendly product offers great value for money.,Dress,283,52,30,Clothing|Van Heusen|Dress
P00072,Puma Neo Tennis Racket,Sports,Puma,5400.0,3.2,Puma Neo Tennis Racket - Engineered for athletes. Durable and high-performance. This premium product offers great value for money.,Tennis Racket,1514,385,0,Sports|Puma|Tennis Racket
P00073,Sony Smartwatch Pro Edition,Electronics,Sony,5330.0,4.3,Experience cutting-edge technology with Sony Smartwatch Pro Edition. Features latest innovations from Sony. This premium product offers great value for money.,Smartwatch,681,339,0,Electronics|Sony|Smartwatch
P00074,Apple Camera Lite 256MP,Electronics,Apple,1200.0,4.0,Upgrade your tech life with Apple Camera Lite 256MP by Apple. Engineered for excellence. This mid-range product offers great value for money.,Camera,1783,91,30,Electronics|Apple|Camera
P00075,Adidas Pro Tennis Racket,Sports,Adidas,4240.0,4.0,Train like a pro with Adidas Pro Tennis Racket. Premium sports gear from Adidas. This mid-range product offers great value for money.,Tennis Racket,792,366,25,Sports|Adidas|Tennis Racket
P00076,IFB Elite Air Fryer,Home & Kitchen,IFB,2920.0,3.9,Bring home IFB Elite Air Fryer by IFB. Built for modern households. This mid-range product offers great value for money.,Air Fryer,358,443,0,Home & Kitchen|IFB|Air Fryer
P00077,Hot Wheels Deluxe Remote Control Car,Toys,Hot Wheels,3170.0,3.7,Create happy memories with Hot Wheels Deluxe Remote Control Car. Trusted toy from Hot Wheels. This mid-range product offers great value for money.,Remote Control Car,661,454,15,Toys|Hot Wheels|Remote Control Car
P00078,Haldirams Deluxe Cereal 750g,Grocery,Haldirams,1380.0,4.3,Haldirams Deluxe Cereal 750g - Goodness in every bite. Premium selection from Haldirams. This mid-range product offers great value for money.,Cereal,1989,427,0,Grocery|Haldirams|Cereal
P00079,Maybelline Advanced Serum,Beauty,Maybelline,2050.0,4.2,Maybelline Advanced Serum - Your secret to radiant skin. Premium formulation by Maybelline. This mid-range product offers great value for money.,Serum,416,263,0,Beauty|Maybelline|Serum
P00080,The Art of Gold Living,Books,Scholastic,760.0,4.4,Expand your horizons with The Art of Gold Living. Available from Scholastic publications. This budget-friendly product offers great value for money.,Fiction,998,430,0,Books|Scholastic|Fiction
P00081,Levis Royal Polo Shirt,Clothing,Levis,3820.0,3.7,Step out in style with Levis Royal Polo Shirt. Made with premium quality fabric by Levis. This mid-range product offers great value for money.,Polo Shirt,754,34,0,Clothing|Levis|Polo Shirt
P00082,Yonex Elite Swimming Goggles,Sports,Yonex,1360.0,3.6,Train like a pro with Yonex Elite Swimming Goggles. Premium sports gear from Yonex. This mid-range product offers great value for money.,Swimming Goggles,1108,205,0,Sports|Yonex|Swimming Goggles
P00083,MTR Gold Cooking Oil 500L,Grocery,MTR,290.0,3.5,Pure and natural MTR Gold Cooking Oil 500L by MTR. Quality you can trust. This budget-friendly product offers great value for money.,Cooking Oil,1476,80,0,Grocery|MTR|Cooking Oil
P00084,Philips Ultra Water Purifier,Home & Kitchen,Philips,1990.0,3.9,Philips Ultra Water Purifier - Making your daily chores effortless. Energy efficient and durable. This mid-range product offers great value for money.,Water Purifier,1903,419,0,Home & Kitchen|Philips|Water Purifier
P00085,LOreal Classic Hair Oil 16ml,Beauty,LOreal,270.0,2.7,LOreal Classic Hair Oil 16ml - Your secret to radiant skin. Premium formulation by LOreal. This budget-friendly product offers great value for money.,Hair Oil,882,49,25,Beauty|LOreal|Hair Oil
P00086,Hot Wheels Silver Board Game,Toys,Hot Wheels,4320.0,5.0,Spark imagination with Hot Wheels Silver Board Game from Hot Wheels. Safe and educational. This mid-range product offers great value for money.,Board Game,916,359,0,Toys|Hot Wheels|Board Game
P00087,LG Max Mixer Grinder,Home & Kitchen,LG,1040.0,3.4,LG Max Mixer Grinder - Making your daily chores effortless. Energy efficient and durable. This mid-range product offers great value for money.,Mixer Grinder,928,387,0,Home & Kitchen|LG|Mixer Grinder
P00088,The Body Shop Silver Makeup Kit,Beauty,The Body Shop,470.0,4.7,Enhance your beauty routine with The Body Shop Silver Makeup Kit by The Body Shop. Dermatologically tested. This budget-friendly product offers great value for money.,Makeup Kit,1690,1,0,Beauty|The Body Shop|Makeup Kit
P00089,Prestige Premium Water Purifier,Home & Kitchen,Prestige,23700.0,3.5,Transform your kitchen with Prestige Premium Water Purifier. Reliable performance by Prestige. This premium product offers great value for money.,Water Purifier,604,389,0,Home & Kitchen|Prestige|Water Purifier
P00090,Puma Deluxe Formal Shirt,Clothing,Puma,720.0,2.8,Puma Deluxe Formal Shirt - Comfort meets fashion. Perfect for any occasion. This budget-friendly product offers great value for money.,Formal Shirt,686,53,0,Clothing|Puma|Formal Shirt
P00091,Adidas Basic Tennis Racket,Sports,Adidas,23620.0,4.2,Train like a pro with Adidas Basic Tennis Racket. Premium sports gear from Adidas. This premium product offers great value for money.,Tennis Racket,1647,105,0,Sports|Adidas|Tennis Racket
P00092,Lakme Smart Hair Oil 50ml,Beauty,Lakme,4230.0,3.8,Discover the magic of Lakme Smart Hair Oil 50ml. Trusted skincare from Lakme. This mid-range product offers great value for money.,Hair Oil,1589,259,0,Beauty|Lakme|Hair Oil
P00093,Nike Neo Jeans,Clothing,Nike,6890.0,4.2,Nike Neo Jeans - Comfort meets fashion. Perfect for any occasion. This premium product offers great value for money.,Jeans,1537,309,0,Clothing|Nike|Jeans
P00094,Haldirams Advanced Spices Combo,Grocery,Haldirams,610.0,5.0,Healthy living starts with Haldirams Advanced Spices Combo. Fresh quality from Haldirams. This budget-friendly product offers great value for money.,Spices,542,476,0,Grocery|Haldirams|Spices
P00095,Bajaj Deluxe Electric Kettle,Home & Kitchen,Bajaj,35230.0,4.6,Transform your kitchen with Bajaj Deluxe Electric Kettle. Reliable performance by Bajaj. This premium product offers great value for money.,Electric Kettle,929,190,0,Home & Kitchen|Bajaj|Electric Kettle
P00096,Xiaomi Power Bank 256mAh,Electronics,Xiaomi,28680.0,3.2,Xiaomi Power Bank 256mAh - Perfect blend of style and performance. High-quality build with premium features. This premium product offers great value for money.,Power Bank,1253,401,0,Electronics|Xiaomi|Power Bank
P00097,Havells Plus Air Fryer,Home & Kitchen,Havells,3210.0,4.3,Havells Plus Air Fryer - Making your daily chores effortless. Energy efficient and durable. This mid-range product offers great value for money.,Air Fryer,1708,217,0,Home & Kitchen|Havells|Air Fryer
P00098,Nike Deluxe Cycling Helmet,Sports,Nike,410.0,1.6,Train like a pro with Nike Deluxe Cycling Helmet. Premium sports gear from Nike. This budget-friendly product offers great value for money.,Cycling Helmet,330,43,0,Sports|Nike|Cycling Helmet
P00099,Mattel Eco Doll House,Toys,Mattel,9880.0,4.1,Spark imagination with Mattel Eco Doll House from Mattel. Safe and educational. This premium product offers great value for money.,Doll House,538,161,0,Toys|Mattel|Doll House
P00100,Prestige Royal Refrigerator 1000L,Home & Kitchen,Prestige,10680.0,3.3,Prestige Royal Refrigerator 1000L - Making your daily chores effortless. Energy efficient and durable. This premium product offers great value for money.,Microwave,1111,201,0,Home & Kitchen|Prestige|Microwave
P00101,Nike Advanced Badminton Racket,Sports,Nike,11070.0,4.6,Elevate your game with Nike Advanced Badminton Racket by Nike. Professional grade quality. This premium product offers great value for money.,Running Shoes,1783,445,15,Sports|Nike|Running Shoes
P00102,LOreal Gold Body Lotion,Beauty,LOreal,1290.0,3.0,Enhance your beauty routine with LOreal Gold Body Lotion by LOreal. Dermatologically tested. This mid-range product offers great value for money.,Lipstick,702,483,5,Beauty|LOreal|Lipstick
P00103,LOreal Classic Serum,Beauty,LOreal,1020.0,4.5,Discover the magic of LOreal Classic Serum. Trusted skincare from LOreal. This mid-range product offers great value for money.,Serum,2120,269,15,Beauty|LOreal|Serum
P00104,Maybelline Lite Lipstick Set,Beauty,Maybelline,1380.0,4.4,Discover the magic of Maybelline Lite Lipstick Set. Trusted skincare from Maybelline. This mid-range product offers great value for money.,Lipstick,1530,350,0,Beauty|Maybelline|Lipstick
P00105,Prestige Pro Electric Kettle,Home & Kitchen,Prestige,45040.0,3.9,Bring home Prestige Pro Electric Kettle by Prestige. Built for modern households. This premium product offers great value for money.,Electric Kettle,1604,303,0,Home & Kitchen|Prestige|Electric Kettle
P00106,Complete Premium Reference,Books,Penguin,2280.0,3.4,Dive into Complete Premium Reference. An enriching read published by Penguin. This mid-range product offers great value for money.,Fiction,1310,270,0,Books|Penguin|Fiction
P00107,Dove Gold Face Wash,Beauty,Dove,670.0,4.3,Enhance your beauty routine with Dove Gold Face Wash by Dove. Dermatologically tested. This budget-friendly product offers great value for money.,Face Wash,664,455,0,Beauty|Dove|Face Wash
P00108,Britannia Classic Coffee 750g,Grocery,Britannia,80.0,3.8,Britannia Classic Coffee 750g - Goodness in every bite. Premium selection from Britannia. This budget-friendly product offers great value for money.,Rice,1592,461,0,Grocery|Britannia|Rice
P00109,Britannia Ultra Coffee 128g,Grocery,Britannia,730.0,3.3,Healthy living starts with Britannia Ultra Coffee 128g. Fresh quality from Britannia. This budget-friendly product offers great value for money.,Rice,829,214,0,Grocery|Britannia|Rice
P00110,Zara Plus Jeans,Clothing,Zara,7780.0,3.8,Step out in style with Zara Plus Jeans. Made with premium quality fabric by Zara. This premium product offers great value for money.,Jeans,1763,251,0,Clothing|Zara|Jeans
P00111,Adidas Smart Swimming Goggles,Sports,Adidas,1850.0,3.9,Adidas Smart Swimming Goggles - Engineered for athletes. Durable and high-performance. This mid-range product offers great value for money.,Swimming Goggles,1784,189,0,Sports|Adidas|Swimming Goggles
P00112,Zara Royal T-Shirt,Clothing,Zara,990.0,3.3,"Express yourself with Zara Royal T-Shirt from Zara. Trendy design, lasting comfort. This budget-friendly product offers great value for money.",T-Shirt,279,295,0,Clothing|Zara|T-Shirt
P00113,Adidas Pro Swimming Goggles,Sports,Adidas,1440.0,3.3,Train like a pro with Adidas Pro Swimming Goggles. Premium sports gear from Adidas. This mid-range product offers great value for money.,Swimming Goggles,634,212,0,Sports|Adidas|Swimming Goggles
P00114,LG Wireless Earbuds Eco,Electronics,LG,143950.0,4.2,Upgrade your tech life with LG Wireless Earbuds Eco by LG. Engineered for excellence. This premium product offers great value for money.,Smartphone,1893,207,30,Electronics|LG|Smartphone
P00115,Complete Ultra Reference,Books,Scholastic,310.0,3.2,Dive into Complete Ultra Reference. An enriching read published by Scholastic. This budget-friendly product offers great value for money.,Fiction,225,236,0,Books|Scholastic|Fiction
P00116,Britannia Lite Biscuits Pack,Grocery,Britannia,200.0,3.6,Pure and natural Britannia Lite Biscuits Pack by Britannia. Quality you can trust. This budget-friendly product offers great value for money.,Rice,826,337,0,Grocery|Britannia|Rice
P00117,Elite Mystery Thriller,Books,Penguin,140.0,3.0,Expand your horizons with Elite Mystery Thriller. Available from Penguin publications. This budget-friendly product offers great value for money.,Fiction,971,366,25,Books|Penguin|Fiction
P00118,Learn Pro in 30 Days,Books,Pearson,550.0,3.9,Expand your horizons with Learn Pro in 30 Days. Available from Pearson publications. This budget-friendly product offers great value for money.,Fiction,743,52,0,Books|Pearson|Fiction
P00119,Dove Plus Face Wash,Beauty,Dove,1090.0,3.7,Dove Plus Face Wash - Your secret to radiant skin. Premium formulation by Dove. This mid-range product offers great value for money.,Face Wash,320,279,20,Beauty|Dove|Face Wash
